ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1670.2567,-7.6293945E-06,-143.4527,40
2,2,937.66693,-7.6293945E-06,-236.09668,20
3,3,-75.60907,-7.6293945E-06,410.04105,-30
4,4,-161.94006,-7.950696E-06,1005.8967,-90
5,5,-149.31659,0.0004212946,1360.4261,40
6,6,199.56862,-1.5258789E-05,-151.61421,30
7,7,-63.131935,-7.6293945E-06,-193.83252,0
8,7,-176.89716,0.34229663,-405.0318,0
9,7,-7.415283,0.5830536,-427.704,0
10,7,-193.40952,-7.6293945E-06,-230.34367,0
11,7,39.476433,-7.6293945E-06,-87.77057,0
12,7,225.27177,0.45899737,-250.08704,0
13,7,157.93161,1.2905886,-383.4896,0
14,7,-807.7749,-7.6293945E-06,-239.00261,0
15,7,-916.6402,-7.6293945E-06,-283.2996,0
16,7,-807.44965,-7.6293945E-06,-466.53336,0
17,7,-764.2649,-7.6293945E-06,-386.94888,0
18,7,-1524.1276,-7.6293945E-06,-253.08823,0
19,7,-1518.1293,-7.6293945E-06,-81.81604,0
20,7,-1496.5476,-7.6293945E-06,77.057144,0
21,7,-1388.2512,-7.6293945E-06,-212.77007,0
22,7,-1383.633,-7.6293945E-06,-82.61599,0
23,7,-1345.8303,-7.6293945E-06,65.00165,0
24,7,-1017.7432,-97.64734,221.53778,0
25,7,-999.9219,-97.64734,349.53403,0
26,7,-845.2797,-97.64734,226.37622,0
27,7,-812.1466,-97.647354,318.5822,0
28,7,-675.4645,-97.64734,209.15787,0
29,7,-640.2117,-97.64734,340.0784,0
30,7,-977.12634,-97.58852,789.64154,0
31,7,-981.22363,-97.64734,664.73303,0
32,7,-1131.7002,-97.64734,274.4819,0
33,7,-331.2336,-62.38443,315.8559,0
34,7,-103.6722,-7.6293945E-06,310.27444,0
35,7,-34.370243,-7.6293945E-06,563.4661,0
36,7,73.16508,-7.6293945E-06,636.55963,0
37,7,-62.33318,-7.6293945E-06,721.78235,0
38,7,43.94455,-7.6293945E-06,878.65845,0
39,7,-104.4699,-7.886745E-06,939.5549,0
40,7,-65.74013,-7.6293945E-06,1211.0814,0
41,7,56.28546,-7.6293945E-06,1284.9291,0
42,7,27.274792,-7.6293945E-06,230.06006,0
43,7,330.70346,-38.645058,570.4823,0
44,7,520.76935,-59.845047,580.514,0
45,7,757.53,-85.04639,486.65717,0
46,7,817.64624,-85.04639,652.2969,0
47,7,923.3987,-85.04639,517.3201,0
48,7,940.92804,-85.04639,650.63434,0
