ClassID,GenType,PosX,PosY,PosZ,Direction
3,3,-1915.1627,302.50757,-1352.9164,0
7,5,-92.42,175.13,-144.25,-50
8,6,-95.34,175.13,-205.62,15
9,7,-102.75,175.13,-87.24,-74
10,8,179.8561,583.14996,-1933.276,104
12,10,-856.6322,955.5252,1306.7993,61
13,11,229.44315,175.1397,30.193745,0
14,12,-331.88373,312.4467,190.59828,0
15,13,-856.83405,756.54095,723.54895,0
16,13,-530.70935,1063.6155,1609.3777,0
17,13,674.62,0.708954,1403.7806,0
18,13,1142.4672,2.529541,873.24207,0
19,13,877.0337,2.529541,531.69824,0
20,13,436.92062,175.38426,-820.4197,0
21,13,1425.2883,0.529541,-599.61395,0
22,13,5.7758565,583.39435,-1631.9895,0
23,13,-1521.4792,302.7519,-1249.5667,0
24,13,-442.74615,544.8295,-936.6861,0
25,14,-1388.979,302.75192,-1154.9062,0
26,14,-668.12634,531.96625,-534.5755,0
27,14,-165.99036,583.39435,-1672.602,0
28,14,1586.2155,0.529541,-374.4601,0
29,14,1043.6946,2.529541,804.2109,0
30,14,457.06433,0.7983811,1367.4951,0
31,14,-121.46774,544.8295,638.71185,0
32,14,-599.7953,544.8295,-4.2670765,0
33,14,-1034.773,544.58514,-101.9418,0
34,14,-983.64453,756.54095,765.3078,0
35,14,-463.2232,1063.6155,1866.8707,0
38,17,406.50427,175.14015,-1113.6042,0
39,18,-251.10814,583.14996,-1459.4713,0
40,19,201.99393,583.14996,-1478.4635,-15
45,20,-850.58905,1063.841,1788.317,-37
46,20,-328.77695,1063.841,1522.7603,-24
48,20,-260.73196,1063.841,1838.7908,-2
51,20,-574.25385,1062.032,1970.7048,-39
52,20,-633.98694,1059.5046,1423.014,-20
53,21,16.549524,583.14996,-1905.2502,4
56,24,-93.96,175.13,-62.27,-77
57,25,-83.48,175.13,-127.24,-55
58,26,642.4684,175.1399,-816.21436,0
59,27,407.62753,175.14015,-1113.7277,0
60,28,-267.5762,324.49564,-662.26385,0
61,29,177.64832,583.14996,-1933.5609,0
63,31,53.712486,583.39435,-1503.979,0
64,32,-345.48898,583.15,-2030.0707,0
65,33,9.928501,175.13979,-438.92313,99
66,34,163.89226,175.1397,-404.68793,140
67,35,-12.550102,175.1397,-2.044178,-62
68,36,-181.17,544.58,-1047.91,109
300,300,-1591.2417,294.39606,-1130.8696,0
301,300,-1730.4451,302.5076,-1371.2933,0
302,300,-1578.8804,302.50754,-1579.3005,0
303,300,-1379.6047,302.5075,-1599.8231,0
304,300,-1248.8768,302.50742,-1462.3652,0
305,300,-1492.2266,294.39597,-1356.0979,0
308,301,378.68292,0.5071505,1450.6086,0
310,301,19.393261,544.8295,568.34686,0
311,301,-197.15096,544.58514,522.24725,0
312,301,-9.034483,544.58514,895.8346,0
313,301,1585.4303,0.28515625,-228.15755,0
314,301,1573.7188,0.28516656,-919.02075,0
315,301,1143.4557,0.28515625,-582.84875,0
325,1,1440.3672,2.1181417,1228.0648,48
326,3,1354.8114,2.1809375,1179.7576,0
327,301,452.66394,0.28515625,1728.966,0
328,301,662.989,0.6335274,1470.6808,0
329,301,676.9265,1.4796457,1104.1777,0
330,2,-1984.1438,302.5076,-1359.9901,-179
331,38,80.40669,175.1397,13.927048,12
332,37,80.570366,175.1397,23.571152,-53
333,9,-193.66,544.58,-1016.55,-62
334,30,-341.0692,583.15,-2033.2499,0
335,4,811.354,2.2851562,267.39758,70
336,306,458.84387,175.13994,-790.7276,0
337,306,177.99597,175.1397,-92.22625,0
338,306,432.49796,50.374847,477.46487,0
339,306,897.8238,2.2851562,585.12103,0
340,306,1234.8262,2.2851562,920.14795,0
341,306,815.97046,1.8121754,1120.7141,0
342,306,533.3381,0.28515625,1692.5255,0
343,306,1156.0465,0.28515625,-702.0045,0
344,306,1767.5519,0.2852137,-749.2262,0
345,306,1515.4878,-11.248047,-396.04297,0
346,306,-159.14673,355.2747,-754.3943,0
347,306,-94.069534,583.14996,-1314.5103,0
348,306,153.83281,583.14996,-1511.944,0
349,306,-153.26291,583.14996,-1894.5449,0
350,306,-530.9597,544.585,-840.9671,0
351,306,-742.0901,544.58514,-209.78873,0
352,306,-629.108,544.58514,245.26056,0
353,306,-230.01926,544.5852,680.2769,0
354,306,-402.02002,309.75485,58.625618,0
355,306,-829.06824,745.3749,503.62332,0
356,306,-1138.4862,756.7665,1050.729,0
357,306,-782.90375,756.7664,803.695,0
358,306,-622.4392,915.6631,1128.3395,0
359,306,-882.0405,1063.841,1672.3824,0
360,306,-516.18896,1055.1494,1461.018,0
361,306,-483.10596,1055.1494,1888.5771,0
362,306,-1215.5706,302.50745,-1554.1174,0
363,306,-1554.2032,302.50757,-1607.9076,0
364,306,-1637.2666,294.39606,-1131.7134,0
365,307,-254.32,963.36,2126.97,0
366,12,-811.27106,544.585,-723.74347,0
367,12,-621.43,531.96625,-599.57184,0
368,12,-557.3827,531.96625,-506.84488,0
369,12,-794.10583,544.58514,-386.5489,0
370,12,-954.81085,531.75757,-116.15873,0
371,12,-978.4426,544.58514,65.55089,0
372,12,-791.34235,531.75757,233.25174,0
373,12,-768.9575,544.58514,-78.77463,0
374,12,-358.53293,544.58496,-1004.9001,0
375,12,-181.44324,583.15,-1384.2344,0
376,12,-253.33563,567.9643,-1614.1323,0
377,12,-309.25943,567.9643,-1681.6929,0
378,12,-82.77006,583.14996,-1890.7207,0
379,12,92.235146,583.14996,-1863.2787,0
380,12,219.79047,583.14996,-1782.3143,0
381,12,-47.730927,583.14996,-1691.5929,0
382,12,133.0753,567.9643,-1389.1782,0
383,12,206.49187,471.4677,-1185.5717,0
384,12,-103.46599,403.20413,-925.50616,0
385,12,-223.78566,324.49564,-580.40875,0
386,12,31.33325,218.66798,-773.67426,0
387,12,324.1766,175.13991,-821.21985,0
388,12,514.44727,175.14001,-669.0271,0
389,12,549.48676,175.13988,-897.2421,0
390,12,439.6628,175.14001,-945.15814,0
391,12,349.27438,175.13986,-677.4812,0
392,12,323.8581,97.64012,-418.08572,0
393,12,380.94565,134.22968,-217.9424,0
394,12,331.2987,98.49746,-373.1767,0
395,12,868.0211,106.80603,-884.707,0
396,12,1025.7606,4.9292107,-708.96106,0
397,12,1369.7731,-10.086408,-782.0809,0
398,12,1344.4156,-11.248047,-583.2008,0
399,12,1339.8024,0.28515625,-405.82333,0
400,12,1596.0498,0.28515625,-335.92642,0
401,12,1589.8398,-11.248047,-568.699,0
402,12,1649.7731,0.28519946,-753.6249,0
403,12,1231.0248,-4.6304064,-832.765,0
404,12,1190.1821,-11.248047,-520.409,0
405,13,811.385,2.2851562,631.6149,0
406,13,793.50305,2.2851562,781.2665,0
407,13,910.7982,2.2851562,856.9576,0
408,13,972.2891,2.2851562,665.09375,0
409,13,1324.1243,2.2851562,859.0172,0
410,13,1191.7096,2.2851562,1076.1501,0
411,13,993.1203,2.2851562,1082.9713,0
412,13,859.30927,2.2564487,999.7633,0
413,13,766.0217,1.4856942,1187.9468,0
414,13,613.1488,1.0194201,1217.1599,0
415,13,413.28455,0.5317014,1447.2657,0
416,13,591.68677,0.3904686,1552.853,0
417,13,507.22794,0.28515625,1685.1812,0
418,13,404.72,0.33441824,1582.5624,0
419,13,521.20825,0.28515625,1792.886,0
420,13,-700.90393,1063.841,1423.6406,0
421,13,-763.4999,1063.841,1657.5914,0
422,13,-625.9149,1055.1494,1497.5204,0
423,13,-639.98,1057.3657,1652.2732,0
424,13,-651.9087,1063.841,1870.2944,0
425,13,-475.47424,1055.1494,1739.3114,0
426,13,-419.9033,1055.9938,1517.3398,0
427,13,-442.5172,1063.841,1385.7109,0
428,13,-568.66974,1055.1494,1369.9382,0
429,13,-386.06903,1055.1494,1653.9918,0
430,13,-294.387,1063.841,1818.2172,0
431,13,-558.0667,1055.1494,2016.5068,0
432,13,-711.467,1063.841,1972.9354,0
433,13,-929.52216,1018.4191,1416.184,0
434,13,-876.58795,1063.841,1548.7798,0
435,13,-712.5443,915.6631,1090.3822,0
436,13,-613.56305,915.6631,1212.1335,0
437,13,-703.1954,915.6631,1135.7009,0
438,13,-594.46313,915.6631,1089.7743,0
