ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-400.4377,141.26422,533.99713,0,오래된 뼈더미
2,2,428.6889,236.78027,-832.4957,0,푸른 테라임프
3,3,469.5934,236.78027,-928.07733,0,틈게
4,4,457.06738,236.78027,-984.31836,0,푸른 라프세이프 메이지
5,2,957.2192,142.94968,-284.9651,0,푸른 테라임프
6,2,905.5864,142.94968,-473.55176,0,푸른 테라임프
7,2,891.3563,142.94968,-351.67706,0,푸른 테라임프
8,2,317.24164,236.78027,-741.11255,0,푸른 테라임프
9,2,645.8351,172.15706,-1139.9755,0,푸른 테라임프
10,2,771.47003,172.15706,-978.07556,0,푸른 테라임프
11,2,266.65405,236.78027,-959.34045,0,푸른 테라임프
12,2,841.7229,172.15706,-1133.954,0,푸른 테라임프
13,2,204.2631,236.78027,-786.8196,0,푸른 테라임프
14,2,10.732574,141.26422,-65.56866,0,푸른 테라임프
15,2,451.21567,229.21323,-138.32924,0,푸른 테라임프
16,2,895.1295,226.10486,773.0369,0,푸른 테라임프
17,2,1056.945,226.10486,1039.6951,0,푸른 테라임프
18,2,1207.8573,226.10486,1182.27,0,푸른 테라임프
19,2,1091.6283,226.10486,663.69666,0,푸른 테라임프
20,2,-1.9367256,225.46054,169.96155,0,푸른 테라임프
21,2,-472.29706,222.03455,-235.80212,0,푸른 테라임프
22,2,-355.04218,141.26422,272.31995,0,푸른 테라임프
23,2,-584.0454,222.03455,-44.04671,0,푸른 테라임프
24,2,-229.27208,222.03455,-229.41473,0,푸른 테라임프
25,3,539.62195,226.28018,142.62126,0,틈게
26,3,76.635254,225.46054,145.96808,0,틈게
27,3,28.567884,228.66428,366.64322,0,틈게
28,3,-301.3149,226.40955,616.60565,0,틈게
29,3,-79.48471,226.40955,805.0726,0,틈게
30,3,-196.60506,226.40953,611.0827,0,틈게
31,3,-174.36546,226.40955,726.4115,0,틈게
32,3,504.97168,226.28018,270.6894,0,틈게
33,3,765.3441,229.25833,485.65628,0,틈게
34,3,551.43036,229.21323,-207.96768,0,틈게
35,3,78.99919,141.26422,-89.46593,0,틈게
36,33,-384.94904,222.03456,-17.679047,0,틈게
37,3,-388.78723,141.26422,497.54102,0,틈게
38,3,-211.84119,141.26422,114.0751,0,틈게
39,33,-387.15247,222.03455,-183.2413,0,틈게
40,33,-627.6507,222.03455,-180.29129,0,틈게
41,3,366.29065,236.78027,-904.14166,0,틈게
42,3,478.5501,236.08975,-476.9796,0,틈게
43,3,485.89453,245.45569,-637.3577,0,틈게
44,3,960.9409,226.10486,793.4156,0,틈게
45,3,1073.2787,226.10486,1165.9238,0,틈게
46,3,1281.0248,226.10486,760.8054,0,틈게
47,4,809.069,142.94968,-354.25793,0,푸른 라프세이프 메이지
48,4,396.93607,226.28018,267.72437,0,푸른 라프세이프 메이지
49,4,1005.8244,142.94968,-462.34445,0,푸른 라프세이프 메이지
50,4,1234.1495,163.28192,-394.18445,0,푸른 라프세이프 메이지
51,4,1233.1365,192.4212,-243.22977,0,푸른 라프세이프 메이지
52,4,1478.7408,225.33678,-15.596283,0,푸른 라프세이프 메이지
53,4,1120.5306,226.10486,849.5473,0,푸른 라프세이프 메이지
54,4,1242.9166,226.10486,1027.9349,0,푸른 라프세이프 메이지
55,4,-27.492495,225.46054,113.79046,0,푸른 라프세이프 메이지
56,4,388.2475,232.50983,-276.6311,0,푸른 라프세이프 메이지
57,4,534.3728,236.08975,-354.83298,0,푸른 라프세이프 메이지
58,4,151.75302,236.78027,-865.8903,0,푸른 라프세이프 메이지
59,4,759.23865,172.15706,-1043.5292,0,푸른 라프세이프 메이지
