ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,12,825,-2596,-99.46,중심시가
2,2,2.922346,688.4476,-403.21832,0,
3,3,-1149.58,564.7603,-243.77936,0,
4,4,1413.1438,457.6492,730.05304,0,
5,5,-1046.065,564.7603,-226.23123,0,
7,5,-1352.6835,578.3446,-104.41146,0,
8,5,-13.47654,688.4476,-569.1067,0,
9,5,-260.31766,688.4476,-531.64343,0,
12,5,-14.520792,745.6932,-1718.8022,0,
16,5,-108.98184,688.4476,-429.3592,0,
20,6,-1238.5271,564.7603,-233.79945,0,
22,6,-292.60538,688.4476,-558.033,0,
24,6,-64.578476,688.4476,-577.5262,0,
26,6,-59.654114,745.6932,-1783.6652,0,
27,6,-1064.4542,564.7603,-307.53314,0,
28,7,-570.1172,885.3875,1373.7795,15,
29,8,-365.7742,745.6932,-1319.7836,-73,
30,34,-399.15045,745.6932,-1350.0089,14,
31,35,-314.8599,745.6932,-1315.0437,-108,
32,10,-443.77148,533.0458,357.74106,0,
33,11,29.384712,533.0458,357.1641,0,
34,12,-586.4934,885.3876,1560.2858,0,
36,14,-1488.2642,578.3446,-134.85909,0,
37,14,-1339.2444,571.8387,-230.7649,0,
38,14,-1293.8923,578.3446,92.75174,0,
39,14,-918.67114,536.8473,-600.08026,0,
40,14,-942.6066,564.7603,-295.98987,0,
41,14,-986.5865,564.15137,185.87921,0,
42,14,-1222.9762,564.1956,332.82996,0,
43,14,-879.6102,587.2318,721.28424,0,
44,15,-1495.0829,578.3446,-19.449547,0,
45,15,-1179.6805,536.8472,-515.9983,0,
46,15,-1235.5935,587.2318,538.9385,0,
47,15,-909.5046,587.2318,533.62476,0,
48,16,124.05611,688.4476,-517.75464,-159,
49,16,-229.97327,688.4476,-519.9115,0,
50,16,-347.22223,688.4476,-440.5534,-56,
51,16,-187.25842,688.4476,-349.2137,0,
55,17,-1181.1619,564.7603,-354.15625,0,
56,17,-1246.2671,564.33887,238.40761,0,
57,17,-1071.9683,587.2318,657.2013,0,
58,17,-685.68494,587.2318,753.5668,0,
59,17,-1437.4412,512.7866,-450.3657,0,
60,18,1112.9459,457.6492,378.3195,0,
61,18,975.5398,457.6492,557.2016,0,
62,18,1365.4882,457.6492,749.4231,0,
63,18,1482.5771,457.6492,663.9259,0,
64,18,1461.1489,457.6492,519.30695,0,
65,18,1361.7362,457.6492,594.7213,0,
66,18,1164.461,457.6492,660.6064,0,
67,19,4.7484717,843.062,1444.9391,124,
68,19,132.45862,843.062,1595.1326,118,
69,19,125.24281,843.062,1734.5181,-38,
70,19,-13.229247,843.062,2047.8518,0,
71,19,-244.22128,843.062,1972.2026,113,
72,19,-53.397106,843.062,1892.0527,-160,
73,19,-297.5761,843.062,1718.1267,-69,
74,19,-369.86932,843.062,1782.0079,0,
75,19,-207.40071,843.062,1419.5042,-150,
76,19,-90.391266,843.062,1404.1682,-66,
77,19,-36.56491,843.062,1648.1271,0,
78,20,-141.64,843.06,2026.56,-70,
79,22,-165.85931,692.66,1070.0682,0,
80,22,-206.12038,843.062,1672.472,0,
81,22,-4.674095,843.062,1774.2219,0,
82,22,-256.17447,843.062,1894.7747,0,
83,22,32.742096,843.062,1581.0337,0,
84,22,-164.75478,603.4484,790.64386,0,
85,22,-303.6987,603.4484,725.76935,0,
86,22,-1091.6829,564.29926,200.27287,0,
87,22,-766.92816,533.0458,358.9884,0,
88,23,-318.01453,688.4476,-656.5358,57,
89,24,-131.23338,688.4476,-522.3377,170,
90,23,12.97611,688.4476,-386.89474,0,
91,23,-194.3963,688.4476,-220.8631,96,
92,24,-488.5532,688.4476,-603.2667,-19,
