ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,1160.2765,-2.0335007,-1071.142,-29
2,2,1159.7455,-2.0335007,-1073.9541,0
3,3,-478.73117,0.5746434,1532.6816,92
4,2,-478.41202,0.57464343,1532.3225,0
6,2,1078.3967,-1.5628662,269.96066,0
7,5,1078.067,-1.5628662,268.84943,0
9,7,581.39966,-1.5628662,403.207,0
10,9,167.1511,-2.0335083,-1347.3872,0
11,9,266.3452,-2.033507,-1239.6967,0
12,9,309.03223,-2.0335083,-1380.9083,0
13,9,376.74835,-2.033496,-1140.6145,0
14,9,552.902,-2.0335007,-972.91003,0
15,9,791.97473,-2.0334964,-887.6309,0
16,9,732.05286,-2.0335002,-983.47705,0
17,9,716.1066,-2.0334964,-820.91235,0
18,9,-1376.5635,-2.2305298,-1530.4257,0
19,9,-1312.7544,-2.2305298,-1385.1052,0
20,9,-1378.1869,-2.2305298,-1132.7216,0
21,9,-1164.3641,-2.2305298,-1530.4648,0
22,9,-1066.9584,-2.2305298,-1342.4598,0
23,9,-993.9096,-2.2305298,-1600.5391,0
24,9,-888.0686,-2.2305298,-1343.1399,0
25,9,-793.4684,-2.2305298,-1573.6753,0
26,9,-614.3974,-2.2305298,-1419.7118,0
27,9,-1487.6012,-2.2305298,-1263.8116,0
28,8,-133.98895,0.035885107,-699.7984,0
29,10,-1510.1844,0.5746026,358.28564,0
30,10,-1446.59,0.57459784,474.96545,0
31,10,-1187.8718,1.0291858,220.12549,0
32,10,-909.56256,1.1256853,346.83447,0
33,10,-656.9434,1.6286635,587.67413,0
34,10,-1179.8386,16.743286,1003.3104,0
35,10,-1224.1995,16.743286,821.90814,0
36,10,-1055.6426,16.743286,858.2045,0
37,10,-720.9249,4.600688,658.2001,0
38,10,-541.55,1.1257547,800.6361,0
39,10,-391.70175,0.5746368,1098.167,0
40,10,-284.27814,0.574646,1178.5675,0
41,10,-361.72458,-69.653656,366.58636,0
42,10,-252.45798,-69.653656,459.86584,0
43,10,-424.46,-69.65372,502.39047,0
44,10,-234.99496,-69.653656,341.83417,0
45,10,-1253.893,1.1257021,-56.462296,0
46,10,-1055.202,1.1257259,82.06411,0
47,10,-1550.115,0.57459635,482.9727,0
48,10,-1391.6514,0.57460827,323.31012,0
49,10,-1496.8134,-96.30292,-662.6179,0
50,10,-1360.1409,-96.30292,-435.31833,0
51,10,-1413.5096,-96.30292,-608.99786,0
52,10,-1247.0483,-96.30292,-587.17896,0
53,10,-1314.449,-57.68493,-329.34442,0
54,11,-1236.7545,-2.2305298,-1650.6248,0
55,11,-1458.7163,-2.2305148,-1398.9626,0
56,11,-994.87494,-2.2305298,-1176.478,0
57,11,-789.25275,-2.2305298,-1240.9963,0
58,11,-1228.4347,-2.2305298,-1263.3025,0
59,11,-1393.2688,-27.410786,-961.22577,0
60,11,-1414.4065,-96.30292,-519.218,0
61,11,-1298.6118,-91.39364,-415.53387,0
62,11,-1300.9294,0.57623166,-197.20102,0
63,11,-1233.7876,1.0430424,-185.9319,0
64,11,-933.55554,1.1256615,327.33328,0
65,11,-831.29425,1.1257455,484.81415,0
66,11,-718.4379,1.1257706,392.49197,0
67,11,153.87045,25.871704,213.29848,0
68,11,94.71974,25.871704,277.20172,0
69,11,186.47766,25.871704,315.93054,0
70,11,268.28433,25.871704,204.39041,0
71,11,459.55978,-0.5743404,70.81754,0
72,11,572.48553,-1.5628715,250.54634,0
73,11,681.13275,-1.5628662,20.866386,0
74,11,192.63469,21.45504,144.65599,0
75,11,100.17556,25.871704,368.6474,0
76,11,175.12901,0.035915293,-223.42267,0
77,11,255.62805,0.035936713,-429.7197,0
78,11,-8.64246,0.035878215,-516.8602,0
79,11,47.78625,0.03589647,-669.626,0
80,11,-340.2379,0.035865784,-912.26636,0
81,11,-182.81113,0.03586603,-992.7444,0
82,11,-334.07855,-1.994962,-1142.7023,0
83,11,-460.6352,-2.2305295,-1268.8768,0
84,11,-538.7416,-2.2305298,-1502.2938,0
85,11,-194.74411,-2.2305222,-1289.4426,0
86,12,892.4873,-2.0334992,-898.758,0
87,12,639.83716,-2.033502,-965.51526,0
88,12,358.32675,-2.0335083,-1299.1729,0
89,12,166.4323,-2.033507,-1419.228,0
90,12,-184.83191,-2.2305248,-1246.2924,0
91,12,-237.78403,0.035868343,-992.7417,0
92,12,-23.729868,0.035921574,-714.1313,0
93,12,267.99063,0.035913005,-243.49155,0
94,12,353.44904,0.03592636,-10.497005,0
95,12,709.8595,-1.5628662,150.27014,0
96,12,795.58594,-1.5628662,315.83698,0
97,12,185.59076,25.871704,264.2452,0
98,12,-639.5355,-2.2305298,-1473.2628,0
99,12,-373.2318,-69.653656,419.35324,0
100,12,-959.4625,-2.2305298,-1688.9441,0
101,12,-755.96094,-2.2305298,-1318.9613,0
102,12,-1281.5039,-2.2305298,-1558.0807,0
103,12,-1386.7269,-2.2305298,-1284.3839,0
104,12,-1366.9073,-96.30292,-669.6035,0
105,12,-1370.1278,-96.30292,-485.77148,0
106,12,-1256.9801,1.1257038,-125.27935,0
107,12,-1121.8712,1.1257167,196.88632,0
108,12,-774.0204,1.1257571,513.21094,0
109,12,-643.1598,5.027715,693.25635,0
110,12,-291.0571,0.57463837,1075.7535,0
111,12,-371.12555,0.57464004,1271.0386,0
112,12,-1512.2943,0.57459205,288.70758,0
113,12,-1382.1974,0.57459676,421.44604,0
114,12,-1211.82,16.743286,879.3068,0
115,13,-834.5065,1.1257362,395.55768,0
116,14,-987.0445,-2.2305303,-1254.029,45
117,15,148.76099,25.871704,365.64847,-90
118,16,174.78476,-2.033503,-1465.0295,90
119,17,-1517.0316,-96.30292,-681.33496,0
