ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1859.1738,224.25394,597.5132,148
2,2,7.247588,178.89078,-1548.1975,-85
3,3,2007.9362,178.89078,-1021.7267,0
4,4,-1670.7682,224.25394,329.7815,0
5,4,-1488.3881,224.25394,566.0125,0
6,4,-1224.5886,224.25394,416.37317,0
7,4,-814.5619,224.25394,306.7561,0
8,4,-812.29395,224.25394,648.3942,0
9,4,-586.54047,224.25394,478.7791,0
10,4,-71.02604,224.24821,723.13434,0
11,4,-91.64652,224.22665,376.40158,0
12,4,197.03047,224.25394,390.98758,0
13,4,209.21352,224.25394,681.67163,0
14,4,186.6979,253.14111,1080.193,0
15,4,627.2356,253.14111,977.218,0
16,4,669.07886,224.25394,496.14932,0
17,4,962.27716,224.25394,614.6889,0
18,4,-15.106125,178.89078,-69.03851,0
19,4,-90.7071,178.89084,-428.0874,0
20,4,287.2421,178.8908,-360.89572,0
21,4,-975.3148,178.89078,-615.77594,0
22,4,-656.59503,178.89078,-544.1736,0
23,4,-393.37067,178.89078,-1207.0701,0
24,4,-53.409096,178.89078,-1304.3795,0
25,4,-181.03537,178.89078,-1009.2533,0
26,4,233.10165,178.89078,-1089.3829,0
27,4,811.6029,178.89078,-747.30634,0
28,4,901.8728,178.89078,-1029.5823,0
29,4,1132.6127,178.89078,-855.72375,0
30,4,1554.4082,178.89078,-1012.1646,0
31,4,1620.3235,178.89078,-814.54376,0
32,4,1868.8419,178.89078,-966.3634,0
33,4,686.48126,178.89078,-231.57434,0
34,4,1035.3124,178.89078,-156.03981,0
35,5,-1858.5634,224.25394,601.6336,0
36,5,4.7451696,178.89078,-1548.4392,0
37,5,2007.8059,178.89078,-1017.6019,0
38,6,-50.563705,178.89078,-1169.5923,0
39,7,38.04691,253.14111,1244.2462,0
40,8,910.3221,178.89078,-900.27325,0
41,9,633.2792,253.14111,1094.1951,0
42,9,-912.959,224.25394,835.195,0
43,9,1756.712,178.89078,-748.50616,0
