ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-1941.1138,-51.90838,576.4455,-179,래스보이 호숫가
2,2,-1709.8447,-51.908386,472.86575,0,나무뿌리 수정
3,2,-1449.1157,-51.908375,488.82462,0,나무뿌리 수정
4,2,-1018.1002,-98.99319,382.09955,0,나무뿌리 수정
5,2,-834.3419,-98.99317,134.67421,0,나무뿌리 수정
6,2,-689.16583,-98.99318,409.32642,0,나무뿌리 수정
7,2,-445.36987,-61.921074,864.70276,0,나무뿌리 수정
8,2,-186.4937,-61.921074,875.1436,0,나무뿌리 수정
9,2,-852.8792,-65.60632,-266.31332,0,나무뿌리 수정
10,2,-817.97406,-65.60626,-564.5253,0,나무뿌리 수정
11,2,-1051.1049,-65.60628,-951.26935,0,나무뿌리 수정
12,2,-174.13489,-98.99318,100.12817,0,나무뿌리 수정
13,2,-56.06346,-98.99318,-210.21228,0,나무뿌리 수정
14,2,179.95544,-98.99318,74.05412,0,나무뿌리 수정
15,2,-62.607903,-60.482475,-673.8705,0,나무뿌리 수정
16,2,101.86656,-60.48248,-947.63525,0,나무뿌리 수정
17,2,588.5701,-51.614376,380.422,0,나무뿌리 수정
18,2,707.10126,4.060505,-405.04675,0,나무뿌리 수정
19,2,1000.6989,4.060527,-367.6134,0,나무뿌리 수정
20,2,1145.0411,-11.480374,80.8928,0,나무뿌리 수정
21,2,1229.1825,-11.480393,412.2823,0,나무뿌리 수정
22,2,1540.1917,-11.480381,155.1247,0,나무뿌리 수정
23,2,1868.1455,-11.480378,294.26404,0,나무뿌리 수정
24,2,1119.3175,37.8351,-905.8885,0,나무뿌리 수정
25,2,1400.684,37.8351,-1058.575,0,나무뿌리 수정
26,3,-1941.625,-51.90838,572.46643,0,FieldCantGen
27,4,1360.8976,-11.480381,218.39641,0,
28,5,-129.12064,-98.99318,17.284393,0,UnVisibleName
29,6,1276.7631,37.835114,-980.2154,0,
30,7,-1086.6108,-65.60628,-306.1852,0,
31,7,-151.4937,-61.921074,1058.8439,0,
32,7,844.5733,4.060495,-234.49954,0,
33,7,1914.5541,-11.480364,340.69675,0,
34,8,1018.3156,37.835117,-900.01746,0,
35,8,189.81891,-60.482483,-785.9006,0,
36,8,-1273.4862,-65.60628,-1077.5593,0,
37,8,-1702.329,-51.90838,691.8844,0,
38,9,-1518.0242,-51.908375,681.9841,-81,수도사 여 2
39,10,-126.75055,-60.482483,-923.7063,0,수도사 여 2
40,11,-779.81305,-98.99318,275.53912,33,수도사 여 2
41,12,1059.8906,-11.480384,250.2739,-71,수도사5
42,13,-742.8293,-98.99318,360.94955,-80,수도사5
43,14,-742.8293,-98.99318,360.94955,-80,수도사5
44,15,1170.1901,37.8351,-861.1136,-69,수도사 여 1
45,16,-773.5663,-98.99318,323.9143,0,수도사 여 1
46,17,-1204.4658,-65.606285,-1109.0186,0,오벨리스크
47,18,1414.8092,-11.480393,36.674427,0,오벨리스크
48,19,1395.3208,37.83511,-1146.4795,0,오벨리스크
49,20,-1204.4658,-65.606285,-1109.0186,0,부서진 오벨리스크
50,21,1414.8092,-11.480393,36.674427,0,부서진 오벨리스크
51,22,1395.3208,37.83511,-1146.4795,0,부서진 오벨리스크
52,23,70.91111,-60.482475,-793.8766,-96,왕릉비석02
53,24,-807.8059,-98.99318,313.7925,0,
