ClassID,GenType,PosX,PosY,PosZ,Direction,Name
20,2,-1184.4565,139.89563,-3331.97,260,
21,3,-471,245,2056,90,
22,4,1033,47,-691,25,
23,5,205,214,553,25,
24,6,-10.035753,214.18715,373.63446,0,낡은 누덕 갈고리
25,7,-193.14432,215.1778,166.65239,0,붉은 트리암불로
26,8,-993.1726,139.4656,-2016.4121,0,
27,9,-481.63513,215.1778,392.36505,5,
28,12,-1336.0219,156.58301,-22.183376,-78,
29,13,-738.95667,245.719,1115.3453,-78,
30,14,671.9559,233.89561,2062.9768,-68,
31,15,886.4635,233.8956,2571.722,-87,
32,16,1545.4417,233.8956,2557.3147,-166,
33,18,1778.841,232.13144,2016.58,-100,
34,19,-606.50726,139.465,-2750.5972,0,
35,19,-1110.2416,139.4656,-1748.8292,0,
36,19,48.517456,47.44306,-937.11664,0,
37,19,367.91678,215.1778,470.17404,0,
38,19,-361.27777,215.1778,454.1906,0,
39,19,-1468.925,156.58293,169.05789,0,
40,19,-355.64966,245.719,1215.0492,0,
41,19,973.97363,237.9044,1263.8043,0,
42,19,1423.6609,233.89555,2103.0225,0,
43,19,722.1556,139.86975,-183.86896,0,
44,20,1129.7534,219.5423,2197.0952,0,
46,21,2662.3218,156.49861,-104.56119,0,
47,22,517.92694,47.442986,-782.6625,0,
48,23,-899.9468,139.46501,-2737.8757,0,
49,23,-782.3813,139.465,-2721.165,0,
50,23,-749.5302,139.465,-2802.4832,0,
51,23,-795.4399,139.465,-2782.3638,0,
52,23,-835.4092,139.46501,-2780.942,0,
53,23,-928.80334,139.46501,-2692.38,0,
54,23,-901.4573,139.46504,-2766.9788,0,
55,23,-850.60925,139.465,-2717.8638,0,
56,23,-775.5745,139.465,-2843.4727,0,
57,23,-954.4254,139.46501,-2733.8125,0,
58,23,-679.3064,139.46501,-2851.3047,0,
59,23,-679.8217,139.465,-2810.9734,0,
60,24,1041.1643,233.89563,2276.6174,-109,
61,25,-881.6045,139.4656,-1769.2935,0,
62,25,-1053.5322,139.4656,-1680.6487,0,
63,25,-1129.0979,139.4656,-1547.1808,0,
64,25,-1208.4725,139.4656,-1751.8973,0,
65,25,-1328.0099,139.4656,-1700.115,0,
66,25,-915.433,139.4656,-1510.6204,0,
68,25,-819.9713,139.4656,-1474.8097,0,
69,25,-1502.9941,139.4656,-1468.0632,0,
70,25,-1490.3584,139.4656,-1667.2007,0,
71,25,-1359.1514,139.4656,-1974.5564,0,
72,26,-753.9049,245.719,1145.2891,0,
76,28,1082.5974,233.8957,2123.3218,0,
81,30,420.00443,215.1778,881.61505,0,
82,31,54.397343,215.1778,631.4136,0,
83,32,561.15906,139.8698,-117.39225,0,
84,33,418.02347,215.1778,881.37964,0,
85,34,44.73014,215.1778,635.65625,0,
86,35,561.81866,139.8698,-137.38437,0,
91,36,2646.4514,156.3518,282.08194,99,
94,38,-803.5752,139.4656,-2121.579,0,붉은 트리암불로
95,38,-786.4732,139.4656,-2325.7256,0,붉은 트리암불로
96,39,-555.4303,245.719,1933.0559,0,
97,40,-453.00488,215.1778,391.30298,-100,
98,41,1041.1643,233.89563,2276.6174,-84,
99,42,1146.5576,233.89555,2065.6619,-45,
100,43,502.54367,215.1778,880.96185,-85,
101,44,108.38818,215.1778,641.5708,-70,
102,45,545.9645,139.8698,-81.5094,0,
103,46,2652.372,156.583,-374.2712,0,
113,38,-187.63193,245.719,1237.4369,0,붉은 트리암불로
114,38,-360.0088,245.719,1042.2727,0,붉은 트리암불로
115,38,-442.87402,245.719,1271.6074,0,붉은 트리암불로
116,38,-715.8862,245.71898,1381.8943,0,붉은 트리암불로
117,38,-643.0099,245.719,1418.9633,0,붉은 트리암불로
118,38,-179.96667,245.719,1426.5568,0,붉은 트리암불로
119,38,-253.51959,245.719,1570.7662,0,붉은 트리암불로
