ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,Name
1,1,10045,-264.94678,242.4188,-348.9568,-52,돌더미
2,2,0,-227.20992,242.4188,-543.7182,0,돌더미
3,3,0,16.347218,242.4188,-243.13123,0,돌더미
4,1,0,361.54,242.4188,-466.49698,-117,돌더미
5,2,0,266.0987,242.4188,-612.4353,0,돌더미
6,2,0,-885.5775,331.8564,229.94485,0,돌더미
7,1,0,-514.3937,331.8564,552.1394,-56,돌더미
8,3,0,-822.1495,331.85645,22.33638,0,돌더미
9,3,0,-535.8921,331.8564,269.11844,0,돌더미
10,4,0,-816.7339,331.8564,153.47977,0,붉은 인프로 블러드
34,5,0,1614.5642,242.4188,40.794136,60,대성당 대회랑
35,6,0,-576.06573,331.8564,776.1403,79,대성당 대회랑
36,7,0,1055.5696,242.4188,-424.0734,-90,여신 바카리네의 상
37,8,0,1331.5688,242.41881,-129.42331,0,붉은 인프로 호글란
38,8,0,305.08084,242.41881,-497.21384,0,붉은 인프로 호글란
39,8,0,1040.2488,242.4188,-743.05664,0,붉은 인프로 호글란
40,8,0,793.4921,242.4188,-646.0165,0,붉은 인프로 호글란
41,8,0,1198.9425,242.4188,-689.60565,0,붉은 인프로 호글란
42,8,0,638.2049,242.41881,-535.5941,0,붉은 인프로 호글란
44,8,0,1376.5436,242.4188,-289.46112,0,붉은 인프로 호글란
45,8,0,1495.9191,242.4188,-187.1565,0,붉은 인프로 호글란
48,8,0,477.36322,242.41881,-534.2803,0,붉은 인프로 호글란
49,8,0,1466.2343,242.4188,-432.5114,0,붉은 인프로 호글란
50,11,0,722.8712,242.4188,-445.35574,-40,사제 알리샤
51,12,20156,1374.2482,242.42,-773.2021,53,순례자
54,15,0,-366.22998,331.8564,486.48126,-78,순례자 오빌
55,16,147386,-696.96375,331.8564,593.10944,-94,사제
56,17,47252,-320.46295,242.4188,-615.2558,-40,주교의 무덤
61,23,10021,-246.30852,242.4188,-47.798576,4,주교의 시신
62,24,147398,-470.7903,242.4188,-322.6234,9,사제
63,25,0,1454.1495,242.42,-258.30484,0,달엉겅퀴
64,26,0,1375.7065,242.4188,-94.46993,0,달엉겅퀴
65,25,0,1334.4133,242.42,-249.00514,0,달엉겅퀴
66,26,0,1553.4713,242.42,-351.47284,0,달엉겅퀴
67,26,0,1157.2773,242.4188,-291.41885,0,달엉겅퀴
69,25,0,1509.3442,242.42,-498.34558,0,달엉겅퀴
70,27,0,-214.54453,242.4188,-572.5262,0,
71,28,0,1523.9097,242.4188,-180.4932,0,나무뿌리 수정
72,28,0,1357.4326,242.4188,-514.2827,0,나무뿌리 수정
73,28,0,957.1966,242.4188,-564.70026,0,나무뿌리 수정
74,28,0,1094.8615,242.4188,-696.4164,0,나무뿌리 수정
75,28,0,594.0869,242.4188,-609.62744,0,나무뿌리 수정
76,28,0,237.27522,242.4188,-357.83572,0,나무뿌리 수정
77,28,0,-233.40475,242.4188,-404.60486,0,나무뿌리 수정
78,28,0,7.8986053,242.4188,-158.91,0,나무뿌리 수정
79,28,0,-414.85004,331.8564,294.15433,0,나무뿌리 수정
80,28,0,-727.6111,331.85648,110.67187,0,나무뿌리 수정
81,28,0,-649.51843,331.85645,363.4472,0,나무뿌리 수정
82,28,0,-499.48004,331.8564,613.8515,0,나무뿌리 수정
83,29,0,736.94165,242.4188,-433.93182,0,약이 끓고 있는 솥
84,26,0,1551.1366,242.42,-120.77493,0,달엉겅퀴
85,25,0,1247.0225,242.42,-397.06244,0,달엉겅퀴
86,26,0,1363.1702,242.42,-470.73077,0,달엉겅퀴
87,30,0,-54.455173,242.4188,-503.29944,0,붉은 인프로 블러드
88,31,0,-575.5598,331.85648,86.63588,-136,정화의 제단
89,32,0,32.284084,242.4188,-478.2611,0,정화의 제단
90,33,0,172.44498,242.4188,-169.25098,-154,정화의 제단
91,34,0,289.86157,242.4188,-731.8196,-120,정화의 제단
93,36,0,-62.1,242.52,-331,0,달러스의 시신
94,37,0,1396.6034,242.4188,-744.239,58,사제 알리샤
95,38,0,-386.5267,331.8564,486.66937,-81,달러스의 시신
96,39,0,-105.74,242.52,77.43,0,보물 상자 LV4
97,43,0,-778.9973,331.8564,284.93805,0,베리얼러
98,30,0,-270.19052,242.4188,-355.3397,0,붉은 인프로 블러드
99,30,0,-13.791946,242.41881,-307.38354,0,붉은 인프로 블러드
100,30,0,254.60268,242.41881,-611.53577,0,붉은 인프로 블러드
101,30,0,-258.18323,242.41881,-679.49,0,붉은 인프로 블러드
102,43,0,-985.4866,331.85645,246.0064,0,베리얼러
103,43,0,-232.41074,242.4188,-166.89944,0,베리얼러
104,43,0,-709.3554,331.85648,71.7006,0,베리얼러
105,43,0,-654.82916,331.85645,434.63235,0,베리얼러
106,43,0,-302.34824,242.4188,-474.21198,0,베리얼러
107,43,0,73.199715,242.4188,-260.68915,0,베리얼러
108,44,0,1598.1539,242.41881,-18.496021,0,필드젠x
109,44,0,-590.94025,331.85645,736.30865,0,필드젠x
110,30,0,194.65128,242.41881,-389.3437,0,붉은 인프로 블러드
111,45,0,1752.1511,142.74243,-636.6796,-51,바르하 숲
112,46,0,1697.8143,151.45638,-626.79175,0,FieldCantGen
113,900,0,-1007.17,331.96,339.83,-90,보물 상자 LV1
114,25,0,1222.245,242.42,-143.33151,0,달엉겅퀴
115,26,0,1638.0001,242.42,-254.66267,0,달엉겅퀴
116,8,0,1394.303,242.41881,-224.26617,0,
117,8,0,1450.4712,242.41881,-68.18451,0,
118,8,0,1264.8533,242.41881,-196.6284,0,
119,8,0,1491.8433,242.41881,-364.64865,0,
120,8,0,1406.652,242.41881,-420.63596,0,
121,8,0,1315.0554,242.41881,-294.48157,0,
122,8,0,1247.5525,242.41881,-736.0549,0,
123,8,0,1134.7665,242.41881,-731.197,0,
124,8,0,1150.5938,242.41881,-687.6293,0,
125,8,0,1044.6823,242.41881,-691.15015,0,
126,8,0,852.7415,242.41881,-655.884,0,
127,8,0,800.02094,242.41881,-598.5166,0,
128,8,0,750.3308,242.41881,-683.9512,0,
129,8,0,711.0787,242.41881,-616.1002,0,
130,8,0,1180.728,242.41881,-599.5738,0,
131,8,0,1249.4359,242.41881,-601.6744,0,
132,8,0,1252.3975,242.41881,-557.1891,0,
133,8,0,1364.1476,242.41881,-581.1458,0,
134,8,0,1295.8859,242.41881,-545.79865,0,
135,8,0,1290.7103,242.41881,-496.63602,0,
136,8,0,620.0448,242.41881,-619.88257,0,
137,8,0,562.0014,242.41881,-605.3966,0,
138,8,0,520.02423,242.41881,-439.91397,0,
139,8,0,547.62415,242.41881,-565.6426,0,
140,8,0,440.18182,242.41881,-553.1851,0,
141,8,0,283.71756,242.41881,-553.91205,0,
142,8,0,217.00572,242.41881,-553.9326,0,
143,8,0,245.77599,242.41881,-479.35864,0,
144,8,0,355.82965,242.41881,-624.1173,0,
145,8,0,275.47122,242.41881,-669.7057,0,
146,8,0,225.81165,242.41881,-419.38632,0,
147,8,0,66.501686,242.41881,-329.17627,0,
148,8,0,39.124912,242.41881,-191.76901,0,
149,8,0,162.42651,242.41881,-272.4757,0,
150,8,0,19.464432,242.41881,-211.18571,0,
151,8,0,-27.331478,242.4188,-358.04382,0,
152,8,0,-93.86884,242.41881,-351.66336,0,
153,8,0,-130.9021,242.41881,-278.87164,0,
154,8,0,-56.6102,242.41881,-328.40082,0,
155,8,0,-155.61273,242.41881,-209.5564,0,
156,8,0,-213.18552,242.41881,-100.54319,0,
157,8,0,-179.24751,242.41881,-287.27542,0,
158,8,0,-346.7472,242.41881,-334.54932,0,
159,8,0,-414.07068,242.41881,-340.65424,0,
160,8,0,-285.89374,242.41881,-404.54993,0,
161,8,0,-366.32455,242.41881,-505.5321,0,
162,8,0,-305.54208,242.4188,-531.2067,0,
163,8,0,-231.61398,242.4188,-470.16525,0,
164,8,0,-229.69736,242.4188,-730.36414,0,
165,8,0,-209.09323,242.4188,-662.56116,0,
166,8,0,-243.2417,242.41881,-635.07324,0,
167,8,0,-289.182,242.41881,-633.1076,0,
168,8,0,-47.049583,242.41881,-542.6716,0,
169,8,0,7.6796684,242.41881,-500.62177,0,
170,8,0,-36.876476,242.4188,-456.2078,0,
171,8,0,-105.15601,242.4188,-528.91846,0,
172,8,0,-109.18544,242.4188,-455.10867,0,
173,8,0,29.73347,242.41881,-447.98557,0,
174,8,0,-217.26515,242.4188,-529.11633,0,
175,8,0,-195.9379,242.4188,-587.8906,0,
176,8,0,-650.255,331.85648,69.01523,0,
177,8,0,-716.2452,331.85648,15.882666,0,
178,8,0,-706.7296,331.85645,133.54623,0,
179,8,0,-790.39166,331.85645,60.635372,0,
180,8,0,-857.10394,331.85645,130.98503,0,
181,8,0,-753.6919,331.85645,184.76328,0,
182,8,0,-834.8331,331.85645,223.74406,0,
183,8,0,-953.4297,331.85645,194.31935,0,
184,8,0,-923.42645,331.85645,279.71692,0,
185,8,0,-1038.3275,331.85645,205.9537,0,
186,8,0,-1090.0808,331.85645,259.00403,0,
187,8,0,-1006.3759,331.85645,320.9577,0,
188,8,0,-721.8992,331.85645,278.04193,0,
189,8,0,-754.0788,331.85648,349.255,0,
190,8,0,-841.0708,331.85645,357.5137,0,
191,8,0,-666.42944,331.85645,386.3992,0,
192,8,0,-740.2736,331.85648,446.94083,0,
193,8,0,-707.1199,331.85645,521.7496,0,
194,8,0,-617.6242,331.85645,505.58835,0,
195,8,0,-574.2032,331.85645,434.22284,0,
