ClassID,GenType,PosX,PosY,PosZ,Direction,Name
2,2,-844.87964,694.98047,1762.1785,87,
3,3,-2888.8276,266.143,711.914,-58,
4,4,2.8408165,333.18356,-524.4103,0,
5,4,1219.5177,333.18356,-609.0739,0,
6,4,1528.8616,333.18356,-431.62653,0,
7,4,2020.2548,333.18356,-107.01742,0,
8,4,2257.6274,333.18356,205.06879,0,
9,4,1937.7372,333.18356,599.0522,0,
10,4,678.7784,333.1836,-17.683138,0,
11,4,710.7136,333.18356,308.31,0,
12,4,327.10114,333.18356,236.63885,0,
13,4,-128.66335,454.61084,231.04144,0,
14,4,-442.2072,589.1984,387.33026,0,
15,4,-681.9301,694.98047,616.0018,0,
16,4,-969.0644,694.98047,699.4119,0,
17,4,-1257.2817,694.81976,165.16887,0,
18,4,-758.89966,694.98047,1081.2393,0,
19,4,-778.1956,694.98047,1483.7043,0,
20,4,-1712.9126,595.6349,602.97546,0,
21,4,-1710.518,533.75806,1105.2148,0,
22,4,-1431.2659,533.75806,1313.1316,0,
23,4,-2195.3308,438.92325,1317.9509,0,
24,4,-2819.582,266.143,1055.2588,0,
25,4,-3211.1855,266.143,885.409,0,
26,5,522.25977,333.18356,-695.1397,0,
27,6,2256.01,333.18356,124.57,-43,
28,7,579.9379,333.18356,-544.0306,-51,
29,8,617.93744,333.1836,-540.26324,-105,
30,9,1659.0204,333.18356,935.78754,-45,
31,9,1659.0204,333.18356,816.2172,-45,
32,9,1780.8882,333.18356,935.78754,-45,
33,9,1780.8882,333.18356,816.2172,-45,
34,10,-1638.318,694.81976,57.856544,-45,
35,10,-1638.318,694.81976,-61.713776,-45,
36,10,-1516.4502,694.81976,57.856544,-45,
37,10,-1516.4502,694.81976,-61.713776,-45,
38,11,1719.9543,333.18356,876.0024,-45,
39,12,-1577.3842,694.81976,-1.928616,-45,
40,13,-3010.533,266.143,1151.3108,0,
41,13,-3073.2764,266.143,1142.5477,-83,
42,13,-2954.4727,266.143,1039.4933,106,
43,13,-3020.9595,268.71405,973.7193,-107,
44,13,-3087.3494,271.86182,963.56433,-8,
45,13,-3139.323,266.143,888.3894,0,
46,13,-3128.49,266.143,728.0432,0,
47,13,-3228.785,266.143,710.48206,158,
48,13,-3193.8147,266.143,808.7271,0,
49,14,596.9766,333.1836,-556.23016,0,
50,15,2258.1233,333.18356,117.06773,0,
51,16,-850,695,1698,0,
52,17,-2923,266,766,0,
53,18,565.38184,333.18356,-659.53925,0,
54,19,599.7849,333.18356,-564.77484,0,
55,20,506.18707,333.18356,-484.76093,-69,
56,20,629.83325,333.18356,-642.752,-88,
57,21,546.5075,333.1836,-459.26443,-160,
58,21,697.6734,333.1836,-505.44446,-69,
59,21,704.3071,333.18356,-523.6018,-67,
85,32,1963.7229,333.18356,537.7066,0,
86,32,1758.809,333.18356,-184.439,0,
93,35,-1383.2535,694.81976,-129.48665,0,
94,35,-1331.3939,694.81976,208.2179,0,
95,35,-1164.5509,694.81976,-9.234051,0,
96,35,-1622.4304,694.81976,-231.07948,0,
97,35,-1666.1749,694.81976,141.77182,0,
109,39,2163.7163,333.18356,328.27695,0,
113,32,1360.3121,333.18356,-671.85455,0,
114,32,1451.1436,333.18356,-501.31216,0,
115,32,1242.8027,333.18356,-372.43927,0,
116,32,-39.256763,333.18356,-471.16193,0,
117,32,8.963051,333.1836,-628.74506,0,
118,32,431.0437,333.18356,107.3401,0,
119,32,600.969,333.18356,171.42574,0,
120,32,723.1542,333.18356,72.47626,0,
121,32,566.76556,333.18356,325.7293,0,
122,32,-616.70776,678.5646,557.8091,0,
123,32,-334.54755,534.931,298.13474,0,
124,32,10.397789,405.9848,234.33116,0,
125,32,137.70398,367.68857,257.779,0,
126,32,1776.0244,333.18356,680.66705,0,
127,32,1869.3792,333.18356,854.9667,0,
128,32,1631.8535,333.18356,913.0039,0,
129,35,-1130.678,711.6289,394.33942,0,
130,35,-2906.6462,266.143,1064.8467,0,
131,35,-2208.072,437.527,1345.5255,0,
132,35,-1802.6129,568.23376,943.5515,0,
133,35,-851.28186,694.98047,624.0442,0,
134,35,-1534.2758,533.75806,1249.3677,0,
135,35,-1829.462,595.6349,779.4019,0,
136,35,-1707.7677,595.6349,579.93665,0,
137,35,-1344.1188,613.77734,711.3946,0,
138,35,-851.1938,694.98047,837.8529,0,
139,32,-1582.8691,694.81976,-26.251808,0,
140,32,-1331.436,694.81976,-1.2488937,0,
141,32,-1762.3063,694.81976,-195.50963,0,
142,32,-1327.4348,694.81976,-241.99884,0,
143,32,-1529.4573,694.81976,124.42268,0,
144,39,-126.30708,333.18356,-520.05225,0,
145,39,577.275,333.18356,28.748514,0,
146,39,406.60297,333.18356,264.10382,0,
147,39,745.263,333.18356,253.6511,0,
148,39,1173.8237,333.18356,-558.18744,0,
149,39,1431.5873,333.18356,-291.19574,0,
150,39,1533.4487,333.18356,-692.98584,0,
151,39,1607.6062,333.18356,-481.5982,0,
152,39,2103.3564,333.18356,-70.27001,0,
153,39,1802.4371,333.18356,905.61053,0,
154,32,-1016.7985,694.98047,585.19617,0,
155,32,-927.4122,694.98047,738.9664,0,
156,32,-809.7748,694.98047,1044.1924,0,
157,32,-1219.861,653.7812,623.983,0,
158,32,-1574.9014,595.6349,498.0969,0,
159,32,-1826.6139,595.6349,636.93604,0,
160,32,-1666.4207,595.6349,680.8242,0,
161,32,-1681.7468,533.75806,1247.855,0,
162,32,-1401.3141,533.75806,1341.5153,0,
163,32,-1785.469,560.9175,971.5759,0,
164,32,-3125.868,266.143,1089.8477,0,
165,32,-1548.4364,533.75806,1394.6985,0,
166,32,-2969.0923,266.14304,1138.7283,0,
167,32,-3231.5295,266.143,981.8882,0,
168,32,-2535.364,330.7105,1233.1725,0,
169,32,-2357.7583,385.3114,1307.4285,0,
170,32,-2053.926,486.32755,1356.6731,0,
171,35,-1367.1448,533.75806,1426.221,0,
172,32,-1304.3845,533.75806,1256.26,0,
173,35,-1779.3336,694.81976,-6.9213676,0,
174,39,-520.30664,628.1734,450.63974,0,
175,39,-295.16144,516.1109,264.44507,0,
176,39,170.63567,357.66187,256.92734,0,
177,39,2.0256157,333.1836,-641.7832,0,
178,39,1438.8427,333.18356,-527.7251,0,
179,39,1822.2477,333.18356,-176.13992,0,
180,39,1739.2124,333.18356,737.2787,0,
182,41,-214.53433,333.18356,-662.15045,0,
183,42,-214.53433,333.18356,-662.15045,0,
184,1,549.7599,333.18356,-861.6209,-101,
185,43,-170.72665,333.18356,-634.1743,0,
186,1000,-3183.61,266.24,1135.78,0,보물 상자 LV1
187,32,1247.5248,333.18356,-726.1293,0,
188,32,1326.0785,333.18356,-736.4163,0,
189,32,1387.0167,333.18356,-761.18536,0,
190,32,1372.5708,333.18356,-812.2434,0,
191,32,1443.4739,333.18356,-793.7052,0,
192,32,1514.1957,333.18356,-776.977,0,
193,32,1578.8844,333.18356,-746.61664,0,
194,32,1645.0264,333.18356,-732.6187,0,
195,32,1681.8558,333.18356,-669.8714,0,
196,32,1726.3785,333.18356,-773.70306,0,
197,32,1685.198,333.18356,-819.78723,0,
198,32,1688.6455,333.18356,-593.7551,0,
199,32,1708.737,333.18356,-521.47833,0,
200,32,1625.1372,333.18356,-554.68475,0,
201,32,1551.5748,333.18356,-606.032,0,
202,32,1507.5669,333.18356,-534.17487,0,
203,32,1544.2067,333.18356,-478.74762,0,
204,32,1562.7926,333.18356,-547.5047,0,
205,32,1493.2643,333.18356,-646.1651,0,
206,32,1479.0883,333.18356,-576.69714,0,
207,32,1446.9194,333.18356,-669.0864,0,
208,32,1425.0057,333.18356,-620.057,0,
209,32,1383.5409,333.18356,-584.20404,0,
210,32,1360.8296,333.18356,-514.4364,0,
211,32,1407.4062,333.18356,-461.73297,0,
212,32,1353.2819,333.18356,-456.56778,0,
213,32,1274.0283,333.18356,-464.4582,0,
214,32,1301.9258,333.18356,-545.2962,0,
215,32,1244.534,333.18356,-655.45654,0,
216,32,1182.457,333.18356,-655.73645,0,
217,32,1121.7192,333.18356,-644.6999,0,
218,32,1104.9005,333.18356,-551.72815,0,
219,32,1073.6049,333.18356,-468.86737,0,
220,32,1153.3501,333.18356,-438.59274,0,
221,32,1184.2395,333.18356,-359.10654,0,
222,32,1225.2672,333.18356,-506.452,0,
223,32,1314.993,333.18356,-343.67896,0,
224,32,1382.0973,333.18356,-339.9643,0,
225,32,1475.897,333.18356,-389.74066,0,
226,32,1529.5482,333.18356,-340.92062,0,
227,32,1584.7733,333.18356,-377.76544,0,
228,32,1655.5317,333.18356,-409.2417,0,
229,32,1689.5994,333.18356,-446.1757,0,
