ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,1163.4784,524.8969,-182.88493,0
2,1,928.6006,524.8969,-243.35081,0
3,1,342.18597,525.46,13.519333,0
4,1,-123.74695,527.06616,153.67111,0
5,1,-358.56937,525.6799,578.68823,0
6,1,-1407.4718,448.0085,-388.0772,0
7,1,-1155.983,475.57767,-288.20752,0
8,1,-845.28436,499.2288,-208.10414,0
9,1,-735.8999,481.4727,-664.49066,0
10,1,-842.95135,448.9377,-987.0322,0
11,1,-852.0322,448.9377,-1228.0957,0
12,1,320.11462,525.6798,-1360.9601,0
13,1,392.13074,525.6799,-1162.2239,0
14,1,115.39487,525.6797,-1147.7969,34
15,1,116.15191,525.6397,-731.9041,0
16,1,41.65725,525.4226,-461.88965,0
17,1,1445.792,562.3977,196.88799,0
18,1,1277.6085,623.7651,758.2844,0
19,1,1005.0402,623.7651,507.35504,0
20,1,897.1247,623.7651,783.9432,0
21,1,738.3719,603.8757,512.37286,0
22,1,238.1584,602.7454,706.6896,0
23,1,327.38937,602.7454,975.2203,0
24,1,514.5646,602.7454,946.92993,0
25,1,150.72432,602.7454,846.2317,0
26,1,-606.05194,525.6798,670.39685,0
27,1,527.54456,525.0157,317.77258,0
28,1,243.61453,525.46,178.42168,0
29,1,848.8988,524.8969,-90.6376,0
30,1,1079.4073,524.8969,53.64847,0
31,1,1376.2535,623.8507,495.07367,0
32,2,-93.8185,525.6781,-616.8168,0
33,2,395.53577,525.46,-158.56929,0
34,2,-83.050446,525.6799,168.8258,0
35,2,-370.2242,548.9029,462.78644,0
36,2,-296.45804,525.68,690.9464,0
37,2,-603.13434,525.6798,643.4405,0
38,2,-948.6117,499.2288,-202.84702,0
39,2,-815.28033,499.2288,-490.60233,0
40,2,-700.8174,448.9377,-803.1997,0
41,2,-983.5505,448.9377,-1055.0701,0
42,2,-779.56976,448.9377,-1261.7667,0
43,2,-788.01227,448.9377,-871.9064,0
44,2,-1473.8568,448.0085,-461.7625,0
45,2,-1581.1962,448.0085,-216.88553,0
46,2,-1099.941,494.7273,-312.58844,0
47,2,371.01773,525.22046,156.65945,0
48,2,1143.7173,524.8969,38.528328,0
49,2,1392.123,554.1807,192.46638,0
50,2,1265.8118,623.7651,770.9482,0
51,2,738.3198,613.8398,626.93097,0
52,2,738.3198,613.8398,626.93097,0
53,2,867.9205,677.6453,1106.2473,0
54,2,496.05017,602.7454,926.829,0
55,2,324.86896,602.7454,1046.3729,0
56,2,204.44301,602.7454,729.84753,0
57,2,72.74461,525.38684,-420.32312,0
58,2,239.46613,525.2102,-363.23282,0
59,2,-39.078266,525.53986,-168.79593,0
60,2,256.18237,525.46,-47.93696,0
61,3,250.82367,525.6798,-1192.5671,0
62,3,143.32529,525.36096,-459.65582,0
63,3,-1500.2622,448.0085,-357.2382,0
64,3,-886.8115,448.9377,-1163.4266,0
65,3,-744.3014,499.2288,-328.9267,0
66,3,-354.9857,525.6799,567.95953,0
67,3,1052.9849,524.8969,-233.98682,0
68,3,1207.7087,623.7651,618.1361,0
69,3,293.5898,525.3004,61.041237,0
70,4,1480.6848,525.7422,-1197.6823,0
72,6,1575.9401,677.7543,1631.2511,50
73,8,1235.0723,525.18604,-1296.2388,0
74,8,926.5205,525.7174,-1280.2971,0
75,8,600.3348,525.76636,-1315.2461,0
76,8,262.4656,525.6798,-1227.0198,0
77,8,146.74762,525.64923,-782.0784,0
78,8,168.88066,525.2835,-399.19882,0
79,8,-151.30313,525.6657,-139.95921,0
80,8,441.63892,525.46,-176.19316,0
81,8,307.12592,525.21454,181.50967,0
82,8,-496.28326,499.2288,-365.66583,0
83,8,-896.1836,448.9377,-1191.1588,0
84,8,-754.3007,448.9377,-928.5487,0
85,8,-803.3622,499.2288,-457.11026,0
86,8,-1065.789,499.2288,-214.73181,0
87,8,-1494.3949,448.0085,-301.6688,0
88,8,-1515.3748,448.0085,-525.1985,0
89,8,-124.32533,525.67993,301.26617,0
90,8,-357.93146,525.67975,506.05655,0
91,8,-533.2109,525.6798,743.6689,0
92,8,-98.95297,548.07227,759.8958,0
93,8,241.71632,602.7454,711.0537,0
94,8,417.11356,602.7454,933.5137,0
95,8,721.5085,642.9839,982.0627,0
96,8,1052.4088,677.6448,1124.7577,0
97,8,1358.4172,677.6448,1423.2029,0
98,8,1313.617,677.6448,1059.3925,0
99,8,884.02026,622.6943,480.51288,0
100,8,915.3694,524.8969,-240.15167,0
101,8,1278.1122,524.8969,-195.1915,0
102,8,1320.5112,524.8969,88.68729,0
103,8,1399.6953,623.85596,537.6924,0
104,8,1204.531,623.7651,700.62146,0
105,9,-883.12354,499.2288,-82.33254,-53
106,10,118.53867,525.38324,-465.439,0
108,12,-1515.0021,448.0085,-367.17603,0
109,13,-793.2904,448.9377,-1045.1526,0
110,14,258.79657,602.7454,1027.6844,0
