ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
443,24,0,-1959.2913,602.8237,249.34772,-168,10,수정광산 2광구 1층
444,514,0,119,-45,-1162,-8.53,10,ROOT
445,514,0,-538,88,-70,-8.53,10,ROOT
446,514,0,522,265,-24,-8.53,10,ROOT
447,514,0,-560,408,521,-8.53,10,ROOT
1105,1020,0,-616.2608,401.9396,443.92184,0,0,부베 전사
1107,1022,0,172.20529,-51.228012,-1077.0809,0,0,부베 얼음 마법사
1109,1023,0,-206.5415,-50.27617,-508.90207,0,0,부베 전사
1110,1023,0,-867.8615,2.494005,-646.0339,0,0,부베 전사
1111,1023,0,-577.72797,87.92433,-163.70804,0,0,부베 전사
1112,1023,0,542.2813,263.05716,-64.50299,0,0,부베 전사
1113,1023,0,-74.738686,276.6684,616.52747,0,0,부베 전사
1114,1023,0,683.7522,231.4137,1023.1604,0,0,부베 전사
1115,1023,0,-488.3191,394.37555,767.8528,0,0,부베 전사
1116,1023,0,-643.0113,423.88535,291.8723,0,0,부베 전사
1117,1023,0,697.76953,261.63052,22.732203,0,0,부베 전사
1118,1023,0,-463.57013,412.0042,378.8994,0,0,부베 전사
1119,1023,0,-1216.4889,487.10495,790.80206,0,0,부베 전사
1120,1023,0,906.9134,260.12534,-27.10347,0,0,부베 전사
1121,1023,0,681.68774,262.34216,-214.19191,0,0,부베 전사
1122,1023,0,937.0975,229.02373,949.5916,0,0,부베 전사
1123,1023,0,806.2828,230.85281,1306.1835,0,0,부베 전사
1124,1023,0,385.92612,260.98996,518.92365,0,0,부베 전사
1128,1026,0,147,-50,-947,0,0,레드 크리스탈
1129,1027,0,623.936,261.99707,81.737274,0,0,블루 크리스탈
1130,1028,0,-610.7022,408.63437,375.54807,0,0,옐로 크리스탈
1132,1030,0,-401.99133,394.86462,687.4127,0,0,
1133,1031,0,-445.57016,381.1021,1015.1894,0,0,
1134,1032,0,-228.24712,336.4411,876.58984,0,0,
1135,1033,0,-84.32649,237.6691,416.3549,0,0,
1136,1034,0,-296.6383,147.75719,125.7319,0,0,
