ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
1,1,40001,-412,221,-37,-172,1,WarpSpot
139,36,400361,1757.1486,331.9713,27.663185,0,0,지뷰 그리바
199,20,11120,72.77144,221.2254,-39.38771,0,1,부베 약탈자
200,20,11120,921.461,332.3606,118.80305,0,1,부베 약탈자
201,20,11120,1247.6375,331.97134,45.39395,0,1,부베 약탈자
202,20,11120,769.1818,332.3606,81.62121,0,1,부베 약탈자
204,20,11120,878.9601,332.3722,599.0032,0,1,부베 약탈자
205,20,11120,895.135,332.3722,923.43164,0,1,부베 약탈자
207,20,11120,1409.3766,418.3634,1102.6736,0,1,부베 약탈자
208,20,11120,1476.2648,418.3634,1295.955,0,1,부베 약탈자
209,20,11120,1746.7504,418.3634,1241.5304,0,1,부베 약탈자
211,20,11120,1668.463,418.3634,1037.216,0,1,부베 약탈자
212,20,11120,2281.0168,418.3634,1436.9515,0,1,부베 약탈자
213,20,11120,2040.9397,418.3634,1364.8846,0,1,부베 약탈자
214,20,11120,2360.8254,418.3634,1313.5062,0,1,부베 약탈자
215,20,11120,2931.3462,332.3721,1213.8942,0,1,부베 약탈자
216,20,11120,5141.0337,333.2023,-203.81564,0,1,부베 약탈자
217,20,11120,3295.3403,332.3721,1118.5864,0,1,부베 약탈자
219,20,11120,3120.7666,332.3721,1211.7893,0,1,부베 약탈자
220,20,11120,823,258,-562,0,1,부베 약탈자
221,20,11120,888.14594,208.0713,-1175.6289,0,1,부베 약탈자
222,20,11120,1338.5209,208.0713,-1039.67,0,1,부베 약탈자
223,20,11120,920.25085,309.5486,-208.70482,0,1,부베 약탈자
224,20,11120,1120.339,208.0713,-1272.1024,24,1,부베 약탈자
225,20,11120,993.76965,208.0713,-1468.4265,0,1,부베 약탈자
226,20,11120,1595.4456,208.0713,-1067.399,0,1,부베 약탈자
227,20,11120,1827.5634,208.0713,-1008.0117,0,1,부베 약탈자
228,20,11120,2422.084,122.08,-1160.1775,0,1,부베 약탈자
229,20,11120,2725.5146,122.08,-1130.3284,0,1,부베 약탈자
230,20,11120,2608.5156,122.08,-1376.185,0,1,부베 약탈자
231,20,11120,1807,331,27,0,1,부베 약탈자
232,20,11120,1934,333,-36,0,1,부베 약탈자
233,20,11120,1934,331,-203,0,1,부베 약탈자
234,20,11120,2599,333,422,0,1,부베 약탈자
235,20,11120,3309.1965,393.93494,-276.24326,0,1,부베 약탈자
236,20,11120,3467.7197,400.7516,-479.16724,0,1,부베 약탈자
237,20,11120,3726.8816,391.30682,-439.6291,0,1,부베 약탈자
238,20,11120,4407.8,333.2023,-189.85252,0,1,부베 약탈자
239,20,11120,4650.6157,333.2023,-124.9798,0,1,부베 약탈자
240,20,11120,4796.2583,333.2023,-225.70631,0,1,부베 약탈자
241,20,11120,5540.859,333.2023,-228.55682,0,1,부베 약탈자
242,20,11120,5879.357,333.2023,-236.01855,0,1,부베 약탈자
243,20,11120,2827.6602,331.9714,337.4762,0,1,부베 약탈자
1011,107,0,1380.6516,418.3634,1073.5006,0,0,메슘
1024,112,0,3652.0889,400.7516,-233.22986,-96,0,신도 브로뉴스
1028,116,0,1685.2189,418.3634,1220.8176,0,0,체이퍼러
1034,117,0,5836.8965,333.2023,-186.57004,0,0,필드젠X
1036,119,0,2560.942,122.08,-1262.1929,0,0,필드젠X
1037,120,0,3107.056,332.3721,1136.1581,0,0,필드젠X
1038,121,0,985,208,-1550,270,0,해진깃발 숲
1042,122,0,1909.4109,331.97137,14.230663,0,0,체이퍼러
1045,124,0,794.4534,332.3606,83.33458,0,0,암몬
1047,126,0,692.34424,222.55785,-944.92554,0,0,신도 사만타
1048,127,0,1497.8711,331.97134,151.35023,0,0,신도 카지스
1049,128,0,-110.96042,221.2254,116.21255,0,0,신도 유르가
1050,129,0,4565.751,333.2023,-58.034164,0,0,신도 유르가
1051,130,0,2800,122,-1325,-13,0,브람블의 뿌리
1052,131,0,3305,332.3721,1084,-8,0,브람블의 뿌리
1053,133,0,1012,208,-1241,-107,0,정화의 제단
1054,134,0,2003,331,-3,0,0,정화의 제단
1055,135,0,223.59164,221.2254,59.787212,0,0,메슘
1057,137,0,5306.488,333.2023,-165.16939,0,0,
1058,122,0,1555.517,208.0713,-1009.1306,0,0,체이퍼러
1059,138,0,1085.1206,208.0713,-1445.903,90,0,출입 경고문
1060,107,0,1428.4888,418.3634,1293.3055,0,0,메슘
1061,107,0,1648.1229,418.3634,1044.516,0,0,메슘
1062,107,0,1664.4006,418.3634,1320.9601,0,0,메슘
1063,107,0,913.66156,332.3722,857.8908,0,0,메슘
1064,107,0,965.24396,332.3722,1043.8346,0,0,메슘
1065,122,0,1147.3901,208.0713,-1086.0521,0,0,체이퍼러
1067,122,0,1778.0083,208.0713,-1006.223,0,0,체이퍼러
1068,122,0,890.48376,208.0713,-1300.6722,0,0,체이퍼러
1069,122,0,1128.9983,208.0713,-1253.2965,0,0,체이퍼러
1070,122,0,2158.805,418.86343,1370.4137,0,0,체이퍼러
1071,122,0,2251.1528,418.3634,1470.3317,0,0,체이퍼러
1072,122,0,1648.2377,418.86343,1029.4897,0,0,체이퍼러
1073,122,0,1486.4159,418.3634,1304.442,0,0,체이퍼러
1074,122,0,1702.1409,331.9714,-194.51215,0,0,체이퍼러
1075,135,0,182.62596,221.2254,-32.67868,0,0,메슘
1076,135,0,463.0593,284.7219,74.860756,0,0,메슘
1077,135,0,726.5241,332.3611,217.42732,0,0,메슘
1078,135,0,757.0701,332.3611,53.849876,0,0,메슘
1079,135,0,953.81085,332.86108,99.06822,0,0,메슘
1080,139,0,815.1485,208.0713,-1084.2322,0,0,인프로 홀더 주술사
1081,139,0,1091.9635,208.0713,-1300.608,0,0,인프로 홀더 주술사
1082,139,0,1243.9862,208.0713,-1065.2133,0,0,인프로 홀더 주술사
1083,139,0,1637.9567,208.0713,-944.67773,0,0,인프로 홀더 주술사
1084,139,0,1815.6641,208.0713,-1084.075,0,0,인프로 홀더 주술사
1085,140,0,3414.4111,400.7516,-459.06192,0,0,인프로 홀더 주술사
1086,140,0,3673.469,400.7516,-418.80933,0,0,인프로 홀더 주술사
1088,140,0,4456.3984,333.2023,-76.69896,0,0,인프로 홀더 주술사
1089,140,0,4546.692,333.2023,-218.86513,0,0,인프로 홀더 주술사
1090,140,0,4788.827,333.2023,-198.43614,0,0,인프로 홀더 주술사
1091,141,0,968.5147,208.57126,-1485.1272,0,0,필드젠x
1092,141,0,-319.40115,221.72545,-53.542946,0,0,필드젠x
1093,107,0,846.40826,332.87216,944.736,0,0,메슘
1094,107,0,1551.4214,418.86343,1083.5773,0,0,메슘
1095,107,0,1550.0206,418.86343,1228.7615,0,0,메슘
1096,107,0,1748.5543,418.86343,1194.1893,0,0,메슘
1097,107,0,1902.5503,418.86343,1404.2194,0,0,메슘
1098,107,0,1968.4153,418.86343,1305.985,0,0,메슘
1099,107,0,1346.2823,418.86343,1184.1682,0,0,메슘
1100,122,0,973.1894,208.57126,-1160.886,0,0,체이퍼러
1101,122,0,1684.9624,208.57126,-1093.7141,0,0,체이퍼러
1102,122,0,1721.2502,332.47137,49.625923,0,0,체이퍼러
1103,122,0,1623.6982,332.4714,-70.553566,0,0,체이퍼러
1104,122,0,1923.0854,332.47137,-113.07788,0,0,체이퍼러
1105,122,0,1410.9523,418.86343,1169.3479,0,0,체이퍼러
1106,122,0,1692.7091,418.86343,1144.575,0,0,체이퍼러
1107,122,0,1078.2408,208.57126,-1364.932,0,0,체이퍼러
1108,122,0,1668.15,208.57126,-972.8998,0,0,체이퍼러
1109,122,0,890.0332,208.57126,-1136.7402,0,0,체이퍼러
1110,122,0,1865.9677,332.4714,-222.07999,0,0,체이퍼러
1111,135,0,288.73026,221.72542,-28.54348,0,0,메슘
1112,135,0,639.7149,332.86108,147.71576,0,0,메슘
1113,135,0,849.508,332.86108,-15.677112,0,0,메슘
1114,135,0,845.6626,332.86108,120.27714,0,0,메슘
1115,135,0,828.80994,332.86963,437.3472,0,0,메슘
1116,140,0,4673.6704,333.7023,-88.1009,0,0,인프로 홀더 주술사
1117,140,0,3541.261,401.25156,-263.9928,0,0,인프로 홀더 주술사
1118,140,0,3381.5176,401.25156,-287.4248,0,0,인프로 홀더 주술사
1119,140,0,1601.7301,418.86343,1254.8358,0,0,인프로 홀더 주술사
1120,140,0,1401.1201,418.86343,1058.0656,0,0,인프로 홀더 주술사
1121,140,0,1385.4783,418.86343,1353.6147,0,0,인프로 홀더 주술사
1122,122,0,3016.4985,332.8721,1057.8936,0,0,체이퍼러
1123,122,0,3144.4678,332.8721,1306.7463,0,0,체이퍼러
1124,122,0,3214.1245,332.8721,1027.6534,0,0,체이퍼러
1125,122,0,2979.1333,332.8721,1276.1603,0,0,체이퍼러
1126,122,0,3097.049,332.8721,1180.2433,0,0,체이퍼러
1127,107,0,2468.3186,122.57999,-1242.1716,0,0,메슘
1128,107,0,2526.0796,122.57999,-1376.9376,0,0,메슘
1129,107,0,2734.7866,122.57999,-1286.911,0,0,메슘
1130,107,0,2746.427,122.57999,-1148.8962,0,0,메슘
1131,107,0,2519.6829,122.57999,-1123.0706,0,0,메슘
1132,107,0,2599.4756,122.57999,-1212.1168,0,0,메슘
1133,107,0,2664.9524,122.57999,-1398.87,0,0,메슘
1134,107,0,2396.142,122.57999,-1143.1467,0,0,메슘
1135,142,0,-456.07,221.33,-407.21,0,0,보물 상자 LV1
1136,143,0,3447.9968,401.25156,-501.94983,0,0,오염된 기운
1137,143,0,3359.3425,401.25156,-328.0631,0,0,오염된 기운
1138,143,0,3107.1995,333.27213,-107.622,0,0,오염된 기운
1139,143,0,3108.5503,332.4714,217.51422,0,0,오염된 기운
1140,143,0,2818.7095,332.4714,364.6772,0,0,오염된 기운
1141,143,0,2666.678,332.4714,387.965,0,0,오염된 기운
1142,143,0,3630.021,401.25156,-476.16953,0,0,오염된 기운
1143,143,0,3580.9893,401.25156,-290.95248,0,0,오염된 기운
1144,143,0,3798.958,364.66455,-421.09003,0,0,오염된 기운
1145,143,0,3914.9512,333.7023,-374.25833,0,0,오염된 기운
1146,143,0,4041.5364,333.7023,-476.59515,0,0,오염된 기운
1147,143,0,4305.8643,333.7023,-314.0852,0,0,오염된 기운
1148,143,0,4400.65,333.7023,-171.63477,0,0,오염된 기운
1149,143,0,3209.1,364.13272,-222.78627,0,0,
1150,143,0,3129.2378,333.00458,46.739655,0,0,
1151,143,0,2976.9355,332.73782,290.43298,0,0,
1152,143,0,4212.357,333.7023,-456.00403,0,0,
1153,144,0,-368.9672,221.72543,-311.75787,0,0,
1154,135,0,2679.7412,122.57999,-1356.7605,0,0,
1155,135,0,2627.3142,122.57999,-1330.2968,0,0,
1156,135,0,2566.521,122.57999,-1341.3607,0,0,
1157,135,0,2490.2747,122.57999,-1318.9038,0,0,
1158,135,0,2548.3726,122.57999,-1286.9135,0,0,
1159,135,0,2603.972,122.57999,-1264.4092,0,0,
1160,135,0,2690.9392,122.57999,-1299.7407,0,0,
1161,135,0,2747.174,122.57999,-1342.4164,0,0,
1162,135,0,2622.6057,122.57999,-1430.697,0,0,
1163,135,0,2712.6262,122.57999,-1228.8453,0,0,
1164,135,0,2701.4888,122.57999,-1142.2714,0,0,
1165,135,0,2766.9707,122.57999,-1099.8313,0,0,
1166,135,0,2677.6453,122.57999,-1082.3345,0,0,
1167,135,0,2613.9746,122.57999,-1131.7269,0,0,
1168,135,0,2542.7307,122.57999,-1070.3597,0,0,
1169,135,0,2545.4307,122.57999,-1154.9965,0,0,
1170,135,0,2547.4573,122.57999,-1222.7651,0,0,
1171,135,0,2448.454,122.57999,-1182.9679,0,0,
1172,135,0,2386.9287,122.57999,-1234.3953,0,0,
1173,135,0,2373.22,122.57999,-1302.2332,0,0,
1174,135,0,2364.8945,122.57999,-1391.8826,0,0,
1175,135,0,2473.8584,122.57999,-1119.2971,0,0,
1176,135,0,2484.9902,122.57999,-1037.0999,0,0,
1177,135,0,2397.5828,122.57999,-1439.9061,0,0,
1178,135,0,2486.6572,122.57999,-1430.5103,0,0,
1179,135,0,1721.5894,208.57126,-1049.6393,0,0,
1180,135,0,1843.321,208.57126,-1015.11,0,0,
1181,135,0,1708.7552,208.57126,-987.02875,0,0,
1182,135,0,1642.1941,208.57126,-1036.6292,0,0,
1183,135,0,1572.7736,208.57126,-1064.7479,0,0,
1184,135,0,1223.6414,208.57126,-1098.9987,0,0,
1185,135,0,1156.8322,208.57126,-1145.2843,0,0,
1186,135,0,1125.6024,208.57126,-1194.0186,0,0,
1187,135,0,1067.6393,208.57126,-1133.9142,0,0,
1188,135,0,1105.802,208.57126,-1067.5629,0,0,
1189,135,0,1030.471,208.57126,-1083.6187,0,0,
1190,135,0,1039.3213,208.57126,-1274.0414,0,0,
1191,135,0,972.83234,208.57126,-1285.5989,0,0,
1192,135,0,1017.6364,208.57126,-1405.2104,0,0,
1193,135,0,942.9792,208.57126,-1331.7043,0,0,
1194,135,0,841.95844,208.57126,-1332.7306,0,0,
1195,135,0,788.1356,208.57126,-1241.1931,0,0,
1196,135,0,816.3818,208.57126,-1200.6565,0,0,
1197,135,0,893.4134,208.57126,-1217.7361,0,0,
1198,135,0,960.7197,208.57126,-1237.8707,0,0,
1199,135,0,971.34985,208.57126,-1451.6816,0,0,
1200,135,0,991.8925,208.57126,-1354.0449,0,0,
1201,135,0,1209.1361,208.57126,-1241.3499,0,0,
1202,135,0,1069.3794,208.57126,-1199.3596,0,0,
1203,135,0,894.7608,208.57126,-1046.7428,0,0,
1204,135,0,880.3143,332.86108,39.47385,0,0,
1205,135,0,814.20276,332.86108,14.890737,0,0,
1206,135,0,730.976,332.86108,0.2152195,0,0,
1207,135,0,642.66754,345.56073,6.653778,0,0,
1208,135,0,569.8401,345.2355,88.04193,0,0,
1209,135,0,542.6258,347.50702,174.78809,0,0,
1210,135,0,616.8621,339.2963,264.66592,0,0,
1211,135,0,703.0263,337.1256,284.14453,0,0,
1212,135,0,808.0782,332.86108,243.75575,0,0,
1213,135,0,860.94025,332.86108,177.38403,0,0,
1214,135,0,925.7936,332.86108,67.49424,0,0,
1215,135,0,891.953,332.86108,120.15534,0,0,
1216,135,0,835.1729,332.86108,82.12345,0,0,
1217,135,0,772.82684,332.86108,150.4084,0,0,
1218,135,0,703.5595,332.86108,126.39874,0,0,
1219,135,0,724.1554,332.86108,70.35673,0,0,
1220,135,0,680.78253,332.86108,71.37734,0,0,
1221,135,0,608.0708,332.86108,130.08961,0,0,
1222,135,0,620.0378,332.86108,177.29146,0,0,
1223,135,0,672.1521,332.86108,186.73557,0,0,
1224,135,0,249.13219,221.72543,4.5850334,0,0,
1225,135,0,240.7916,221.72542,-56.644882,0,0,
1226,135,0,167.08067,221.72542,-63.057674,0,0,
1227,135,0,137.19627,221.7254,16.987831,0,0,
1228,135,0,197.741,221.72542,22.17654,0,0,
1229,135,0,172.69824,221.72542,68.78992,0,0,
1230,135,0,301.3812,221.72542,12.229095,0,0,
1231,135,0,177.42523,221.72542,122.59422,0,0,
1232,135,0,107.24924,221.72542,44.671246,0,0,
1233,135,0,112.51292,221.7254,-80.233444,0,0,
1234,135,0,1787.3306,332.4714,-241.27525,0,0,
1235,135,0,1746.6647,332.4714,-151.84697,0,0,
1236,135,0,1682.2576,332.4714,-139.03856,0,0,
1237,135,0,1693.6913,332.47137,-83.17718,0,0,
1238,135,0,1641.2388,332.47137,-13.926284,0,0,
1239,135,0,1685.9794,332.47137,19.1325,0,0,
1240,135,0,1739.3508,332.47137,-35.86796,0,0,
1241,135,0,1708.3839,332.47137,-38.403862,0,0,
1242,135,0,1772.7825,332.47137,-103.11785,0,0,
1243,135,0,1817.6886,332.4714,-171.74767,0,0,
1244,135,0,1922.0844,332.4714,-189.21931,0,0,
1245,135,0,1938.6797,332.4714,-239.96661,0,0,
1246,135,0,1996.4341,332.4714,-155.74619,0,0,
1247,135,0,1898.7224,332.4714,-137.14513,0,0,
1248,135,0,1849.1858,332.47137,-120.67808,0,0,
1249,135,0,1843.4908,332.47137,-48.401115,0,0,
1250,135,0,1814.9706,332.47137,2.6988392,0,0,
1251,135,0,1796.3383,332.47134,78.631744,0,0,
1252,135,0,1759.2715,332.47134,90.27899,0,0,
1253,135,0,1829.0807,332.47134,163.67778,0,0,
1254,135,0,1883.0608,332.47137,94.338165,0,0,
1255,135,0,1833.8519,332.47137,101.53718,0,0,
1256,135,0,1848.4042,332.47137,47.098194,0,0,
1257,135,0,1948.9448,332.47137,32.19836,0,0,
1258,135,0,1962.2073,332.47137,-32.196404,0,0,
1259,135,0,1961.9204,332.47137,-55.694817,0,0,
1260,135,0,2001.6422,332.47137,-97.818565,0,0,
1261,135,0,2025.7136,332.4714,-21.421326,0,0,
1262,135,0,2022.3004,332.47137,39.97587,0,0,
1263,135,0,1955.0427,332.47137,79.617645,0,0,
1264,135,0,3456.313,401.25156,-322.08173,0,0,
1265,135,0,3402.594,401.25156,-354.7962,0,0,
1266,135,0,3522.3171,401.25156,-406.87598,0,0,
1267,135,0,3442.5706,401.25156,-410.17868,0,0,
1268,135,0,3508.0066,401.25156,-492.32248,0,0,
1269,135,0,3436.1912,401.25156,-505.29822,0,0,
1270,135,0,3549.0898,401.25156,-516.7176,0,0,
1271,135,0,3624.1965,401.25156,-491.06046,0,0,
1272,135,0,3577.0469,401.25156,-443.8509,0,0,
1273,135,0,3613.7366,401.25156,-363.01126,0,0,
1274,135,0,3546.232,401.25156,-334.98956,0,0,
1275,135,0,3511.7393,401.25156,-347.35312,0,0,
1276,135,0,3602.1646,401.25156,-245.74953,0,0,
1277,135,0,3532.6836,401.25156,-214.80788,0,0,
1278,135,0,3470.4333,401.25156,-264.67612,0,0,
1279,135,0,3391.5422,401.25156,-382.56396,0,0,
1280,135,0,3622.3416,401.25156,-428.51404,0,0,
1281,135,0,3697.4524,399.62387,-476.1568,0,0,
1282,135,0,3731.7478,392.26413,-412.75623,0,0,
1283,135,0,3774.3733,373.6494,-445.7293,0,0,
1284,135,0,4385.4517,333.7023,-138.5162,0,0,
1285,135,0,4329.2783,333.7023,-173.0195,0,0,
1286,135,0,4422.59,333.7023,-188.50662,0,0,
1287,135,0,4439.314,333.7023,-133.09465,0,0,
1288,135,0,4341.3438,333.7023,-214.97736,0,0,
1289,135,0,4500.6484,333.7023,-152.5573,0,0,
1290,135,0,4588.74,333.7023,-161.09277,0,0,
1291,135,0,4512.073,333.7023,-186.87526,0,0,
1292,135,0,4523.291,333.7023,-103.96696,0,0,
1293,135,0,4576.685,333.7023,-82.143555,0,0,
1294,135,0,4625.407,333.7023,-118.4547,0,0,
1295,135,0,4639.2183,333.7023,-46.8329,0,0,
