ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1084.5376,200.9586,-189.95901,0,나무뿌리 수정
2,2,4560.204,73.8079,-1508.1926,0,다단 숲
3,3,-2196.1824,244.3048,467.23996,180,레타스 개울가
4,4,3710.0918,73.8079,-1275.3938,0,연락병 마르다스
5,5,1942.8885,200.9586,-530.4468,1,대장 부엉이 조각상
6,6,2726.456,73.8079,-1027.6716,-90,부엉이 조각상
7,7,2763,134.5246,-819,-90,부엉이 조각상
8,8,3517.916,134.5246,-299.1355,-90,부엉이 조각상
9,9,3072.5483,134.52463,294.20084,-90,부엉이 조각상
10,10,2307.06,134.5246,163.0591,-90,부엉이 조각상
11,11,1978.5392,200.9586,269.54617,-90,부엉이 조각상
12,12,2700.1592,73.8079,-1447.0176,0,KATYN_10_MQ_01_TRIGGER
13,12,2890.508,73.8079,-1240.7777,0,KATYN_10_MQ_01_TRIGGER
14,12,2424.5552,73.8079,-1525.1013,0,KATYN_10_MQ_01_TRIGGER
15,13,2340.011,200.9586,-521.91235,0,KATYN_10_MQ_03_TRIGGER
16,14,4507.028,134.5246,-867.5006,0,KATYN_10_MQ_04_TRIGGER
17,15,4529.429,166.6671,575.87573,0,카롤리스 제단
18,16,1260.5149,200.9586,-566.1681,0,카롤리스의 빛
19,17,1275.7483,200.9586,-430.62006,0,카롤리스의 빛
20,18,1412.1365,200.9586,-428.28802,0,카롤리스의 빛
21,19,1402.5453,200.9586,-572.0863,0,카롤리스의 빛
22,20,1334.0122,200.9586,-497.52725,0,카롤리스 성소
23,21,1232.3236,200.9586,449.7149,-90,정신 지배의 탑
24,22,-1061.6295,244.5545,-348.87402,0,카롤리스 샘터의 기운
25,23,1260.5149,200.9586,-566.1681,0,카롤리스의 빛 완성
26,23,1275.7483,200.9586,-430.62006,0,카롤리스의 빛 완성
27,23,1412.1365,200.9586,-428.28802,0,카롤리스의 빛 완성
28,23,1402.5453,200.9586,-572.0863,0,카롤리스의 빛 완성
29,24,1232.3236,200.9586,449.7149,-90,정신 지배의 탑
30,25,2025,200.9586,-535,180,연락병 마르다스
31,22,-1047.1234,244.5545,-461.75906,0,카롤리스 샘터의 기운
32,22,-914.0042,244.5545,-442.1593,0,카롤리스 샘터의 기운
33,22,-955.2024,244.5545,-312.00516,0,카롤리스 샘터의 기운
34,22,-1013.6746,244.5545,-197.20792,0,카롤리스 샘터의 기운
35,22,-889.27686,244.5545,-272.94098,0,카롤리스 샘터의 기운
36,26,4573.222,73.8079,-1470.9984,0,몬젠X
37,26,1943.4791,200.9586,-531.2944,0,몬젠X
38,26,-2196.0105,244.3048,467.25333,0,몬젠X
39,27,1942.8885,200.9586,-530.4468,0,부엉이 이펙트
40,27,2726.456,73.8079,-1027.6716,0,부엉이 이펙트
41,27,2763,134.5246,-819,0,부엉이 이펙트
42,27,3517.916,134.5246,-299.1355,0,부엉이 이펙트
43,27,3072.5483,134.52463,294.20084,0,부엉이 이펙트
44,27,2307.06,134.5246,163.0591,0,부엉이 이펙트
45,27,1978.5392,200.9586,269.54617,0,부엉이 이펙트
300,300,3521.1157,134.52,1180.7018,0,
301,301,2540.178,176.1663,736.4865,0,잠겨진 상자
302,302,3209.0679,134.5246,-285.65054,0,디고
303,303,3509.121,134.5246,-260.31042,0,벨스툴
304,304,619.0667,200.9586,449.2327,0,푸른 코도모르
305,305,85.75889,165.7861,-23.353672,0,엘디고
306,304,306.00818,165.7861,-92.50246,0,푸른 코도모르
307,304,268.0117,165.786,-875.04395,0,푸른 코도모르
308,304,839.21704,200.9586,-699.1901,0,푸른 코도모르
313,305,-656.0559,165.78606,-828.0578,0,엘디고
314,305,211.20842,165.786,-1070.1692,0,엘디고
315,305,-22.453705,244.5546,617.18726,0,엘디고
316,305,-1028.9083,244.5546,428.98044,0,엘디고
317,305,-1316.4192,244.5546,169.95444,0,엘디고
318,305,-1023.3864,244.5545,-310.81116,0,엘디고
319,305,-546.09595,165.7861,-253.65295,0,엘디고
320,305,-293.6648,165.78604,-679.1201,0,엘디고
321,305,-100.95703,165.7861,-333.95715,0,엘디고
322,305,149.29773,165.78609,-666.7284,0,엘디고
323,305,-891.3471,244.55452,86.447685,0,엘디고
324,305,-561.5988,244.5546,477.79266,0,엘디고
325,305,-215.2049,244.55453,284.26697,0,엘디고
326,305,44.812454,165.7861,-154.13623,0,엘디고
327,304,874.3751,200.9586,-96.14917,0,푸른 코도모르
328,303,2839.192,134.5246,-654.4356,0,벨스툴
329,303,3142.8682,134.5246,-298.57773,0,벨스툴
330,303,2492.6567,176.1663,818.5579,0,벨스툴
331,303,2592.7292,134.52463,293.36057,0,벨스툴
332,303,3346.111,134.5246,936.378,0,벨스툴
333,303,2708.3684,176.1663,704.97766,0,벨스툴
334,303,4045.943,134.57967,534.9248,0,벨스툴
335,303,4294.9707,134.5246,466.1776,0,벨스툴
336,303,4233.803,134.5246,-118.50273,0,벨스툴
337,303,4747.8384,134.5246,-402.35782,0,벨스툴
338,303,4216.8965,134.5246,-871.329,0,벨스툴
339,303,3848.1282,134.5246,-423.1608,0,벨스툴
340,303,4056.4175,134.5246,147.1265,0,벨스툴
341,303,3279.9595,134.5246,16.222424,0,벨스툴
342,303,2524.1262,73.8079,-999.42017,0,벨스툴
343,303,2749.3523,73.8079,-1000.3328,0,벨스툴
344,303,2480.326,73.8079,-1458.8026,0,벨스툴
345,303,2851.4255,73.8079,-1741.7468,0,벨스툴
346,303,3140.782,73.8079,-2043.0648,0,벨스툴
347,303,3760.9446,73.8079,-1392.3535,0,벨스툴
348,303,3628.2358,73.8079,-1148.1714,0,벨스툴
349,303,3524.0947,73.8079,-1390.0317,0,벨스툴
350,303,2580.195,134.5246,-554.3679,0,벨스툴
351,303,2607.6282,134.5246,-432.95734,0,벨스툴
352,303,2435.8616,200.9586,-477.9513,0,벨스툴
353,303,2350.311,200.9586,-517.595,0,벨스툴
354,303,1898.7692,200.9586,-773.8411,0,벨스툴
355,303,1759.9524,200.9586,-568.1987,0,벨스툴
356,303,2135.076,200.9586,-120.63211,0,벨스툴
357,303,2186.2903,200.9586,36.15175,0,벨스툴
358,303,1732.2278,200.9586,380.72742,0,벨스툴
359,303,1494.7621,200.9586,454.5807,0,벨스툴
360,303,1422.4464,200.9586,141.09323,0,벨스툴
361,303,1463.7156,200.9586,-72.293015,0,벨스툴
362,303,1278.332,200.9586,-496.7416,0,벨스툴
363,303,882.8474,200.9586,-557.6603,0,벨스툴
364,303,789.1827,200.9586,-230.06873,0,벨스툴
365,303,1179.6008,200.9586,-186.38713,0,벨스툴
366,303,900.02875,200.9586,466.79242,0,벨스툴
367,303,3425.48,134.5246,-727.1524,0,벨스툴
368,303,227.2195,165.786,-953.27515,0,벨스툴
369,303,304.83008,165.78603,-772.2401,0,벨스툴
370,303,26.449814,165.78603,-657.1788,0,벨스툴
371,303,179.79463,165.7861,-302.75775,0,벨스툴
372,303,-198.47693,165.7861,-193.5089,0,벨스툴
373,303,-201.88141,165.78609,-479.31326,0,벨스툴
374,303,-467.92395,165.78606,-741.3782,0,벨스툴
375,303,-1071.2113,244.5546,278.18164,0,벨스툴
376,303,-566.71985,244.5546,453.32104,0,벨스툴
377,303,-532.41156,244.55453,252.60477,0,벨스툴
378,303,-335.59882,244.55458,516.7924,0,벨스툴
379,303,-99.88551,244.5546,688.9304,0,벨스툴
380,303,-89.298035,244.5546,263.3313,0,벨스툴
381,303,66.28938,244.55453,359.3157,0,벨스툴
382,303,-971.0724,244.5545,-240.83604,0,벨스툴
383,303,-1071.2996,244.5545,-344.2771,0,벨스툴
384,303,-1511.0857,244.5546,246.90463,0,벨스툴
385,303,-738.4082,165.78607,-800.29944,0,벨스툴
386,303,443.82242,165.786,-1016.6253,0,벨스툴
387,303,764.3134,200.9586,-775.336,0,벨스툴
388,303,1143.0381,200.9586,-315.54358,0,벨스툴
389,303,501.5249,200.9586,183.73663,0,벨스툴
390,303,2061.935,200.9586,-390.642,0,벨스툴
391,303,2122.6604,200.9586,-1005.2783,0,벨스툴
392,303,2459.6597,176.1663,692.54486,0,벨스툴
393,303,2616.8647,176.1663,578.859,0,벨스툴
394,303,2650.148,176.1663,836.17377,0,벨스툴
395,303,3635.1929,134.5246,308.54904,0,벨스툴
396,303,4383.799,134.5246,47.75613,0,벨스툴
397,303,4274.0234,134.5246,-518.7687,0,벨스툴
398,303,3928.923,134.5246,-889.204,0,벨스툴
399,303,3028.5027,73.8079,-1310.7972,0,벨스툴
400,303,3196.4692,73.8079,-1649.2893,0,벨스툴
401,303,3630.3545,73.8079,-1665.7587,0,벨스툴
402,306,2680.772,134.52464,154.39069,0,푸른 비테라스
403,306,2970.9922,134.52466,387.2321,0,푸른 비테라스
404,306,3057.2368,134.5246,96.95865,0,푸른 비테라스
405,306,3279.5305,134.5246,201.25531,0,푸른 비테라스
406,306,3213.7188,134.5246,624.78973,0,푸른 비테라스
407,306,2881.639,134.52469,572.22675,0,푸른 비테라스
408,306,3387.7544,134.5246,1044.9366,0,푸른 비테라스
409,306,3483.0046,134.5246,757.3875,0,푸른 비테라스
410,306,3455.6184,134.5246,411.83716,0,푸른 비테라스
411,306,3780.0833,134.5246,482.36682,0,푸른 비테라스
412,306,3098.476,134.5246,790.5998,0,푸른 비테라스
413,306,2468.4495,176.1663,762.105,0,푸른 비테라스
414,306,2749.3586,176.1663,755.42523,0,푸른 비테라스
415,306,2586.943,176.1663,837.676,0,푸른 비테라스
416,306,2714.3296,176.1663,861.06036,0,푸른 비테라스
417,306,2532.9412,176.1663,541.28217,0,푸른 비테라스
418,306,2405.1597,176.1663,687.1131,0,푸른 비테라스
419,306,3676.0022,134.5246,1165.4338,0,푸른 비테라스
420,306,2446.0017,134.52463,119.78352,0,푸른 비테라스
421,306,2835.3086,134.52464,274.08212,0,푸른 비테라스
422,306,3200.1653,134.52464,501.3246,0,푸른 비테라스
423,306,3152.3813,134.52463,343.23926,0,푸른 비테라스
424,306,3632.2341,134.5246,447.28122,0,푸른 비테라스
425,306,3694.2725,134.5246,286.1422,0,푸른 비테라스
426,306,3330.523,134.52463,797.2311,0,푸른 비테라스
427,306,2593.7717,176.1663,956.95624,0,푸른 비테라스
428,306,2663.2144,176.1663,637.7484,0,푸른 비테라스
429,306,2483.6943,176.1663,865.1885,0,푸른 비테라스
430,306,2474.0608,176.1663,613.9473,0,푸른 비테라스
431,306,2574.0264,176.1663,651.6933,0,푸른 비테라스
432,306,2642.039,176.1663,750.9759,0,푸른 비테라스
433,306,3620.4543,134.52,1049.3802,0,푸른 비테라스
434,307,2649.1865,73.8079,-1677.0403,0,붉은 어패리션
435,307,2657.0647,73.8079,-1350.0638,0,붉은 어패리션
436,307,2696.7239,73.8079,-1133.5648,0,붉은 어패리션
437,307,3195.0498,73.8079,-1279.4858,0,붉은 어패리션
438,307,2803.0854,73.8079,-1612.333,0,붉은 어패리션
439,307,2455.398,73.8079,-1428.6124,0,붉은 어패리션
440,307,2589.2114,73.8079,-1186.3395,0,붉은 어패리션
441,307,2405.0828,73.8079,-1772.7905,0,붉은 어패리션
442,307,2886.648,73.8079,-1950.1646,0,붉은 어패리션
443,307,2806.4253,73.8079,-1774.9454,0,붉은 어패리션
444,307,3206.545,73.8079,-1927.3127,0,붉은 어패리션
445,307,3225.1233,73.8079,-2117.9084,0,붉은 어패리션
446,307,3499.075,73.8079,-2044.3817,0,붉은 어패리션
447,307,3307.6846,73.8079,-2005.4929,0,붉은 어패리션
448,307,3048.6912,73.8079,-2015.9343,0,붉은 어패리션
449,307,3319.764,73.8079,-1710.9952,0,붉은 어패리션
450,307,3238.9563,73.8079,-1657.7363,0,붉은 어패리션
451,307,3314.003,73.8079,-1840.5104,0,붉은 어패리션
452,307,3303.766,73.8079,-1429.8207,0,붉은 어패리션
453,307,2970.945,73.8079,-1228.6312,0,붉은 어패리션
454,307,3141.86,73.8079,-1104.8527,0,붉은 어패리션
455,307,3471.0662,73.8079,-1227.1182,0,붉은 어패리션
456,307,3432.4622,73.8079,-1460.9432,0,붉은 어패리션
457,307,3371.4722,73.8079,-1323.1433,0,붉은 어패리션
458,307,3412.1802,73.8079,-1054.5521,0,붉은 어패리션
459,307,3224.2693,134.5246,-865.55383,0,붉은 어패리션
460,307,2847.71,134.5246,-778.4143,0,붉은 어패리션
461,307,2728.5537,134.5246,-534.20337,0,붉은 어패리션
462,307,3056.5442,134.5246,-493.71817,0,붉은 어패리션
463,307,2973.3638,134.5246,-663.44214,0,붉은 어패리션
464,307,3319.6423,134.5246,-649.3237,0,붉은 어패리션
465,307,3198.334,134.5246,-368.34805,0,붉은 어패리션
466,307,2879.5476,134.5246,-328.51767,0,붉은 어패리션
467,307,3142.1123,134.5246,-156.58966,0,붉은 어패리션
468,307,3404.214,134.5246,-373.12717,0,붉은 어패리션
469,307,3550.542,134.5246,-719.61487,0,붉은 어패리션
470,307,3686.364,134.5246,-475.2761,0,붉은 어패리션
471,307,3523.649,134.5246,-529.2234,0,붉은 어패리션
472,307,3162.8884,134.5246,-685.5338,0,붉은 어패리션
473,307,3314.8025,134.5246,-486.52118,0,붉은 어패리션
474,307,3436.5513,134.5246,-860.0629,0,붉은 어패리션
475,307,2670.7751,73.8079,-1893.5121,0,붉은 어패리션
476,307,2896.7332,73.8079,-2089.9019,0,붉은 어패리션
477,307,3105.317,73.8079,-1424.9559,0,붉은 어패리션
478,308,1513.1008,200.9586,-710.53766,0,푸른 트리펠리
479,308,1674.914,200.9586,-569.2951,0,푸른 트리펠리
480,308,1522.3268,200.9586,-516.2938,0,푸른 트리펠리
481,308,1577.2052,200.9586,-328.6042,0,푸른 트리펠리
482,308,1414.8593,200.9586,-246.00189,0,푸른 트리펠리
483,308,1561.433,200.9586,-129.75948,0,푸른 트리펠리
484,308,1717.1926,200.9586,-166.71744,0,푸른 트리펠리
485,308,1496.8971,200.9586,42.609314,0,푸른 트리펠리
486,308,1550.8918,200.9586,292.6068,0,푸른 트리펠리
487,308,1689.0103,200.9586,367.0788,0,푸른 트리펠리
488,308,1670.2805,200.9586,95.933655,0,푸른 트리펠리
489,308,1818.2109,200.9586,251.96378,0,푸른 트리펠리
490,308,1878.7194,200.9586,-80.441,0,푸른 트리펠리
491,308,2008.8563,200.9586,26.832092,0,푸른 트리펠리
492,308,1967.4861,200.9586,-334.9133,0,푸른 트리펠리
493,308,2018.5411,200.9586,-164.74057,0,푸른 트리펠리
494,308,1825.1079,200.9586,-375.87222,0,푸른 트리펠리
495,308,1762.9152,200.9586,-737.1756,0,푸른 트리펠리
496,308,1756.6403,200.9586,-884.02423,0,푸른 트리펠리
497,308,1930.6055,200.9586,-811.996,0,푸른 트리펠리
498,308,1920.8909,200.9586,-914.9164,0,푸른 트리펠리
499,308,1933.3021,200.9586,-1078.4749,0,푸른 트리펠리
500,308,2078.1875,200.9586,-1171.596,0,푸른 트리펠리
501,308,2007.6744,200.9586,-980.35364,0,푸른 트리펠리
502,308,2296.9636,200.9586,-1001.6323,0,푸른 트리펠리
503,308,2104.8481,200.9586,-860.73224,0,푸른 트리펠리
504,308,2230.5107,200.9586,-887.62634,0,푸른 트리펠리
505,308,2144.7664,200.9586,-985.1153,0,푸른 트리펠리
506,308,2176.105,200.9586,-705.8732,0,푸른 트리펠리
507,308,2101.8667,200.9586,-590.21234,0,푸른 트리펠리
508,308,2039.4603,200.9586,-494.79004,0,푸른 트리펠리
509,308,2195.5266,200.9586,-348.2022,0,푸른 트리펠리
510,308,2187.381,200.9586,-534.3334,0,푸른 트리펠리
511,308,2364.7932,200.9586,-467.72278,0,푸른 트리펠리
512,308,2131.3135,200.9586,-63.947746,0,푸른 트리펠리
513,308,2151.4978,200.9586,197.29921,0,푸른 트리펠리
514,308,1938.8818,200.9586,247.71785,0,푸른 트리펠리
515,308,1916.19,200.9586,84.227646,0,푸른 트리펠리
516,308,1381.158,200.9586,117.61964,0,푸른 트리펠리
517,308,1444.4568,200.9586,491.53278,0,푸른 트리펠리
518,308,1240.9923,200.9586,-95.32651,0,푸른 트리펠리
519,308,1209.4719,200.9586,303.3374,0,푸른 트리펠리
520,308,1228.6439,200.9586,599.26953,0,푸른 트리펠리
521,308,1008.9264,200.9586,-143.49805,0,푸른 트리펠리
522,308,1036.4803,200.9586,-500.11694,0,푸른 트리펠리
523,308,1167.6652,200.9586,-662.1734,0,푸른 트리펠리
524,308,1379.2441,200.9586,-655.3547,0,푸른 트리펠리
525,308,1165.1855,200.9586,-485.2427,0,푸른 트리펠리
526,308,1223.6572,200.9586,-342.7915,0,푸른 트리펠리
527,308,996.60895,200.9586,159.4607,0,푸른 트리펠리
528,308,1001.8875,200.9586,535.6933,0,푸른 트리펠리
529,308,809.54346,200.9586,430.1209,0,푸른 트리펠리
530,308,1095.9452,200.9586,283.5608,0,푸른 트리펠리
531,308,1244.5457,200.9586,6.0014343,0,푸른 트리펠리
532,308,1358.1222,200.9586,69.96153,0,푸른 트리펠리
533,304,384.0571,165.7861,-385.90652,0,푸른 코도모르
534,304,48.687492,165.7861,-286.58917,0,푸른 코도모르
535,304,-85.75361,165.7861,-233.50229,0,푸른 코도모르
536,304,102.44896,165.78606,-729.0913,0,푸른 코도모르
537,304,325.2721,165.7861,-313.28064,0,푸른 코도모르
538,304,761.593,200.9586,-374.55347,0,푸른 코도모르
