ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-2319.81,801.67,2045.69,-76,수레 관리자
2,2,-2327.73,801.67,2031.34,-83,
3,3,615.5692,-163.64774,-1536.7423,-67,
4,4,-2260.6016,801.6678,2342.3184,105,
5,5,-2565.8833,788.7881,1895.7645,180,
6,6,486.98108,94.4277,2231.2004,72,
7,7,-210.31674,56.159515,522.3493,0,
8,7,-67.01148,56.159515,556.89764,0,
9,7,-198.186,56.159515,653.21625,0,
10,7,-198.09668,94.53653,1206.7544,0,
11,7,46.152634,94.53653,1266.6785,0,
12,7,-92.161156,94.53653,1106.7717,0,
13,7,270.36566,94.53653,1085.6046,0,
14,7,688.1033,288.6196,580.1842,0,
15,7,749.4871,288.6196,736.2224,0,
16,7,1058.6438,288.6196,515.7305,0,
17,7,1020.2498,288.6196,420.64102,0,
18,7,887.32983,288.6196,583.0008,0,
19,7,802.6167,175.27682,167.42284,0,
20,7,503.3966,87.67126,88.21856,0,
21,7,113.8606,56.159515,-225.47728,0,
22,7,-51.560574,56.159515,122.73868,0,
23,7,-246.2449,56.159515,-83.03145,0,
24,7,-171.49654,56.159515,72.41771,0,
25,7,254.15918,56.159515,-4.1304703,0,
26,7,-361.8435,56.159515,-280.64822,0,
27,7,-461.94193,42.913277,-112.12851,0,
28,8,-125.8777,94.53653,1188.5304,0,
29,8,148.90616,94.53653,1165.6213,0,
30,8,-90.19638,56.159515,627.23724,0,
31,8,-86.2886,56.159515,-7.7601743,0,
32,8,132.90225,56.159515,-120.44523,0,
33,8,705.68964,288.6196,673.30994,0,
34,8,1003.1226,288.6196,507.5144,0,
35,8,-974.86035,0.1088562,-390.39554,0,
36,8,-806.6802,0.1088562,-222.21606,0,
37,8,-635.6353,0.1088562,-386.34763,0,
38,8,-980.6368,-109.80612,351.73557,0,
39,8,-826.74976,-109.80612,458.08517,0,
40,8,-344.75977,-39.64056,-856.7908,0,
41,8,-161.04425,-39.64056,-691.3743,0,
42,8,-71.965,-39.64056,-786.40845,0,
43,8,-175.96307,-39.64056,-879.0983,0,
44,8,-398.17218,-39.64056,-686.19495,0,
45,8,-757.07794,0.1088562,-455.90848,0,
46,8,-978.59235,0.1088562,-231.49483,0,
47,8,-586.70166,0.1088562,-195.46362,0,
